Phrase,Neighbours
markov chain monte carlo,"markov chain monte carlo sampler, markov chain, markov chains, monte carlo algorithm, monte carlo algorithms, markov model, markov assumption, markov algorithms, mrf  markov network, simplest markov model"
markov chain monte carlo sampler,"markov chain monte carlo, markov chain, markov model, monte carlo algorithms, monte carlo algorithm, simplest markov model, markov chains, markov random field, markov random field may, markov assumption"
markov chains,"markov chain, markov chain monte carlo, markov algorithms, markov property described, markov model, markov assumption, simplest markov model, mrf  markov network, markov chain monte carlo sampler, markov partition"
markov model,"simplest markov model, markov assumption, hidden markov models, hidden markov model, markov algorithms, markov chain, hidden markov models considered, layered hidden markov model, markov chains, markov property described"
markov partition,"markov partitions, markov partitions make homoclinic, markov chains, markov chain, markov model, markov shift, markov algorithms, markov property described, markov assumption, simplest markov model"
markov partitions,"markov partition, markov partitions make homoclinic, markov chains, markov chain, markov model, markov algorithms, markov shift, markov property described, markov assumption, simplest markov model"
markov partitions make homoclinic,"markov partitions, markov partition, markov chains, markov chain, markov shift, satisfies markov properties, markov property described, markov chain monte carlo, mrf  markov network, markov algorithms"
markov property described,"markov chains, markov assumption, markov model, satisfies markov properties, markov chain, simplest markov model, markov algorithms, hidden markov models, hidden markov models considered, markov partition"
markov random field,"markov random field may, random vectors, random variables, markov chain monte carlo sampler, markov model, markov algorithms, markov assumption, two random vectors, markov chain, use random variables"
markov random field may,"markov random field, markov chain monte carlo sampler, random variables, markov model, random vectors, simplest markov model, markov chain monte carlo, markov algorithms, use random variables, random access"
markov shift,"markov model, markov algorithms, markov assumption, markov chain, markov partition, markov partitions, markov chains, mean shift, mrf  markov network, hidden markov model"
markowitz method,"theoretic method, simplest method, method used, jacobi method for complex hermitian matrices, alternative method, gaussseidel method algorithm, method first proposed, backward euler method, iterative method proposed, supervised method"
markup language,"markup languages, older markup languages, specific purpose markup language based, fuzzy markup language, fuzzy markup language edited, allow intermingling markup, programming language semantics, common language infrastructure, programming language, language specification"
markup languages,"markup language, older markup languages, sometimes called lightweight markup languages, specific purpose markup language based, fuzzy markup language, fuzzy markup language edited, programming languages, different programming languages, allow intermingling markup, abstract family of languages"
martin calls,"nigel martin, sibling calls, repeated function calls, function 2 calls function 3, function 1 calls function 2, function 3 calls function 1"
massachusetts institute,"national institute, modified national institute"
massive online analysis,"online algorithms, online information, online algorithm, called online optimization, online sources, algorithms run online, online machine learning, data analysis, online disinhibition, structured analysis"
matching algorithm,"pattern matching, matching input, algorithm using, algorithm used, parallel algorithm, particular algorithm, sequential algorithm, approximation algorithm, different algorithm, algorithm theory"
matching input,"matching algorithm, pattern matching, given input, validate input values, example input, takes input, input items, input sequences, input piece, without input"
materials science,"computational materials science, field include computational materials science, conducting materials, healthcare materials, environmental science, information science, science seeking, acs combinatorial science, computer science, computer science intended"
math functions,"polynomial functions, simpler functions, complex functions, radial functions, valued functions, functions without, also total functions, main functions, indicator functions, functions measuring"
mathematical analysis,"mathematical study, mathematical model, mathematical formula, numerical analysis, mathematical sciences, mathematical framework, numerical analysis finds application, mathematical expressions, mathematical function, realistic mathematical models"
mathematical computability theorists study,"computability theorists, computability theory, computability logic, relative computability, mathematical study, mathematical analysis, mathematical model whose requirements, mathematical tool designed, mathematical framework, mathematical sciences"
mathematical constructors,"mathematical expressions, mathematical objects, mathematical tool designed, mathematical function, ordinary mathematical induction, mathematical foundations, mathematical model whose requirements, mathematical study, mathematical fields, mathematical reasoning"
mathematical discipline,"mathematical sciences, mathematical fields, mathematical study, another discipline, mathematical foundations, mathematical logic, mathematical tool designed, mathematical systems theory, mathematical objects, mathematical reasoning"
mathematical duality,"mathematical logic, mathematical study, mathematical objects, mathematical sciences, mathematical function, mathematical problems, mathematical analysis, mathematical reasoning, mathematical expressions, mathematical fields"
mathematical expressions,"mathematical function, mathematical formula, mathematical study, mathematical objects, mathematical analysis, mathematical reasoning, mathematical logic, mathematical sciences, mathematical problems, mathematical fields"
mathematical extension,"mathematical function, mathematical expressions, mathematical fields, admit functional extension, mathematical framework, mathematical foundations, mathematical study, mathematical objects, mathematical analysis, mathematical duality"
mathematical fields,"mathematical sciences, mathematical foundations, mathematical study, mathematical objects, mathematical function, mathematical discipline, mathematical framework, mathematical problems, mathematical systems theory, many fields"
mathematical finance,"quantitative finance, mathematical sciences, mathematical foundations, mathematical framework, mathematical expressions, mathematical study, mathematical logic, mathematical fields, mathematical formula, mathematical reasoning"
mathematical formula,"mathematical study, mathematical function, mathematical analysis, mathematical expressions, mathematical problems, mathematical model, mathematical sciences, mathematical objects, mathematical foundations, mathematical framework"
mathematical foundations,"mathematical framework, mathematical sciences, mathematical fields, mathematical study, mathematical model, mathematical systems theory, mathematical function, mathematical tool designed, mathematical guarantees, mathematical objects"
mathematical framework,"mathematical foundations, computational framework, mathematical tool designed, mathematical study, mathematical model, mathematical systems theory, mathematical analysis, mathematical model whose requirements, mathematical objects, mathematical sciences"
mathematical function,"mathematical expressions, mathematical formula, mathematical study, mathematical objects, linear function, basic function, mathematical sciences, exact function, mathematical fields, mathematical problems"
mathematical guarantees,"provable guarantees, mathematical proof certifying, mathematical foundations, mathematical expressions, mathematical function, mathematical logic, mathematical model whose requirements, mathematical finance, mathematical study, mathematical sciences"
mathematical logic,"mathematical reasoning, computational logic, classical logic, formal logic, term computational logic came, computational logic 1, relevant logic, logic programming, quantificational logic, logic program"
mathematical model,"realistic mathematical models, mathematical model whose requirements, mathematical study, mathematical analysis, mathematical framework, physical model, mathematical systems theory, mathematical foundations, statistical model, mathematical formula"
mathematical model whose requirements,"mathematical model, realistic mathematical models, mathematical framework, mathematical foundations, mathematical study, mathematical systems theory, mathematically based techniques whose purpose, specific model, mathematical tool designed, idealized model"
mathematical objects,"mathematical sciences, mathematical function, mathematical study, mathematical tool designed, analytical objects, mathematical fields, mathematical expressions, mathematical framework, describe objects, mathematical systems theory"
mathematical operation called convolution,"mathematical function, mathematical computability theorists study, mathematical reasoning, mathematical expressions, mathematical logic, ordinary mathematical induction, mathematical study, mathematical analysis, mathematical formula, mathematical sciences"
mathematical optimization problem including constraints,"mathematical optimization problems involving, optimization problem, optimization problems, optimization problems dealing, solving optimization problems suggested, solving optimization problems, approximately solving nonlinear optimization problems, dimensional optimization problem, employ mathematical optimization, numerical optimization"
mathematical optimization problems involving,"optimization problems, mathematical optimization problem including constraints, optimization problem, optimization problems dealing, solving optimization problems, solving optimization problems suggested, approximately solving nonlinear optimization problems, employ mathematical optimization, numerical optimization, optimization methods"
mathematical problems,"solve numerical problems, computational problems, mathematical study, mathematical formula, mathematical optimization problems involving, mathematical function, two computational problems, mathematical analysis, mathematical fields, mathematical objects"
mathematical proof certifying,"proof method, mathematical guarantees, mathematical logic, rigid proof, mathematical reasoning, proof assistants, mathematical computability theorists study, mathematical study, mathematical function, mathematical analysis"
mathematical reasoning,"mathematical logic, reasoning requires, reasoning system, reasoning systems, reasoning systems come, mathematical study, mathematical framework, mathematical tool designed, mathematical analysis, mathematical expressions"
mathematical sciences,"mathematical study, mathematical fields, mathematical objects, mathematical discipline, mathematical foundations, mathematical analysis, mathematical tool designed, mathematical function, mathematical framework, mathematical systems theory"
mathematical study,"mathematical analysis, mathematical sciences, mathematical formula, mathematical model, mathematical function, mathematical objects, mathematical tool designed, mathematical problems, mathematical framework, mathematical foundations"
mathematical systems theory,"systems theory, mathematical framework, mathematical model, mathematical sciences, computational systems, mathematical study, mathematical foundations, mathematical objects, mathematical analysis, realistic mathematical models"
mathematical table used,"table structure, dynamic table, lookup table, entire table, mathematical study, mathematical tool designed, mathematical framework, mathematical fields, mathematical objects, mathematical sciences"
mathematical tool designed,"mathematical framework, mathematical study, mathematical objects, mathematical sciences, mathematical analysis, mathematical foundations, mathematical reasoning, mathematical fields, mathematical systems theory, mathematical model"
mathematically based techniques whose purpose,"based technique, based methods, algorithms based, mathematical model whose requirements, based approaches, based learning methods, expressing computation based, based implementations, based applications, based learning algorithms"
mathematics focused,"throughout mathematics, pure mathematics devoted primarily, mathematics higher, applied mathematics, continuous mathematics, computational mathematics, discrete mathematics, discrete mathematics theory  third, biology focused, focused operating systems also exist"
mathematics higher,"throughout mathematics, higher arithmetic, mathematics focused, applied mathematics, continuous mathematics, computational mathematics, pure mathematics devoted primarily, discrete mathematics, discrete mathematics theory  third, higher level"
matlab code,"efficient matlab, matlab function symmmd, code modulation, oriented code, code development, source code designed, object code, source code, code injection, target code technique"
matlab function symmmd,"matlab code, efficient matlab, logarithm function, sigmoid function, logistic function, kernel function, linear discriminant function, linear function, exact function, linear objective function"
matrix algorithms,"matrix operations, matrix analysis, matrix equations, given matrix, matrix decomposition, matrix decompositions, matrix containing, inverse matrix, tridiagonal matrix algorithm, matrix structures"
matrix analysis,"matrix operations, matrix algorithms, matrix containing, given matrix, matrix structures, matrix equations, system matrix, matrix decomposition, matrix decompositions, original matrix"
matrix containing,"given matrix, matrix structures, original matrix, matrix analysis, square matrix used, matrix operations, square matrix, system matrix, matrix equations, matrix splitting"
matrix decomposition,"matrix decompositions, many different matrix decompositions, matrix operations, matrix analysis, matrix algorithms, given matrix, matrix containing, orthogonal decomposition, polynomial decomposition, matrix splitting"
matrix decompositions,"matrix decomposition, many different matrix decompositions, matrix operations, matrix analysis, matrix algorithms, given matrix, matrix containing, matrix splitting, matrix structures, matrix equations"
matrix equations,"matrix operations, matrix algorithms, inverse matrix, matrix analysis, matrix containing, matrix structures, given matrix, matrix multiplication, square matrix, matrix decomposition"
matrix multiplication,"matrix operations, given matrix, square matrix, square matrix used, matrix containing, matrix equations, matrix algorithms, matrix analysis, matrix decomposition, matrix structures"
matrix operations,"matrix algorithms, matrix analysis, given matrix, matrix equations, matrix containing, matrix structures, matrix multiplication, matrix decomposition, matrix decompositions, system matrix"
matrix splitting,"matrix containing, matrix decomposition, given matrix, matrix analysis, matrix operations, matrix structures, matrix decompositions, many different matrix decompositions, matrix equations, matrix algorithms"
matrix structures,"matrix containing, given matrix, matrix analysis, matrix operations, square matrix, system matrix, matrix equations, square matrix used, original matrix, matrix algorithms"
matroid problems,"many problems, symmetric linear programming problems, caused many problems, problems posed, undecidable problems, nonorthogonal problems, uncountably many undecidable problems, potentially poses problems, two computational problems, finding software memory problems"
matthew kwan,
matthias braun,
max-flow min-cut theorem,"cut theorem, cut theorem follows, cut theorem refers, universal approximation theorem, polynomial remainder theorem, general theorem, polynomial decomposition theorem, theorem concerns logical formulas, theorem may also, shannon sampling theorem"
maxima computer algebra system,"computer algebra systems, purpose computer algebra systems, computer algebra, computer algebra systems may, purpose computer algebra systems aim, computer algebra systems began, applied linear algebra book, applied linear algebra, basic linear algebra, numerical linear algebra"
maximal number,"maximum number, large number, big number, number theory, analytic number theory, finite number, increasing number, harmonic number, several number bases, sciencesand number theory"
maximal subtree isomorphism,"tree isomorphism, right subtree, graph isomorphism, left subtree"
maximathe modesof,
maximin model,"maximin models, specific model, underlying model, idealized model, model context, universal model, markov model, physical model, model various low, multidimensional model commonly used"
maximin models,"maximin model, computational models"
maximize use,"efficient use, reduced use, practical use, also use, main use, many optimization methods use, use approximate solutions, central use, common use, different use"
maximizing comfort,
maximum amount,"maximum number, maximum value, maximum size, certain amount, large amount, maximum matching, maximum profit, small amount, maximum weight matching, maximum likelihood"
maximum entropy probability distribution,"differential entropy, normalized entropy, entropy measures, entropy calculations, entropy method, probability distribution, probability distributions, infinite topological entropy, rnyi entropy, finite topological entropy"
maximum likelihood,"high likelihood, maximum value, maximum entropy probability distribution, maximum number, maximum amount, maximum satisfiability problem, partial maximum satisfiability problem, maximum matching, maximum size, maximum profit"
maximum matching,"maximum value, maximum weight matching, maximum number, maximum amount, maximum weight matching problem, matching algorithm, maximum size, partial maximum satisfiability problem, maximum satisfiability problem, matching input"
maximum number,"maximum value, maximum amount, maximal number, maximum matching, maximum size, large number, big number, limited number, increasing number, maximum profit"
maximum profit,"maximum value, maximum amount, maximum number, maximum size, maximum matching, maximum entropy probability distribution, maximum likelihood, maximum weight matching, hash table approaches maximum capacity, maximum weight matching problem"
maximum satisfiability problem,"partial maximum satisfiability problem, classify boolean satisfiability problems, optimality problem, maximum matching, maximum value, maximum likelihood, maximum number, minimum spanning tree problem  mst, hard problem, maximum amount"
maximum size,"maximum amount, maximum number, problem size, maximum value, maximum weight matching, size computation, step size, maximum weight matching problem, variable size, size array"
maximum value,"maximum number, maximum amount, maximum matching, maximum profit, maximum size, absolute value, overall value must, maximum likelihood, hash table approaches maximum capacity, maximum weight matching"
maximum weight matching,"maximum weight matching problem, maximum matching, maximum size, two weight, maximum amount, configured weight, maximum value, maximum number, matching algorithm, maximum profit"
maximum weight matching problem,"maximum weight matching, maximum matching, maximum size, problem size, maximum amount, maximum value, optimality problem, maximum number, matching algorithm, optimization problem"
maximum-margin hyperplane,optimally separating hyperplane
may also,"may seem, world may, may influence, may refer, field may, may depend, may indicate, may execute, answers may, may also refer specifically"
may also include accounting software,"software design may refer, banking application may, data model may specify, information may, include appropriate indication, successful cognitive architectures include act, implementation may deviate, disk encryption software include, graphics system may combine, computer algebra systems may"
may also include prior knowledge,"apply prior domain knowledge, may use knowledge, using knowledge, signal prior, information may, knowledge discovery, knowledge base, expressing knowledge, available knowledge using logical techniques, storing knowledge gained"
may also refer specifically,"may refer, term may refer, also referred, sometimes also known, may indicate, also related, also called, specifically identified, also known, one may use"
may depend,"may influence, may seem, may improve, may also, may indicate, answers may, may refer, world may, may execute, systems may still"
may execute,"may also, implementation may deviate, may depend, banking application may, may influence, systems may still, computation may, methods may, site scripting vulnerability may, may seem"
may improve,"improve efficiency, may influence, improve performance, improve physical, may depend, improve prediction, answers may, may seem, may indicate, may use knowledge"
may include pointer functions,"main functions, functions without, simpler functions, valued functions, generic functions implemented, general recursive functions, computable functions, also total functions, symmetric functions, 1 symmetric functions"
may indicate,"may seem, may influence, may refer, may also refer specifically, may also, may depend, answers may, information may, field may, term may refer"
may influence,"may depend, may indicate, may seem, may improve, answers may, may refer, may also, information may, field may, methods may"
may lack continuous network connectivity,"network environments, telecommunications network, network protocol, internal network, network architecture, communications network, network employs, network layer including redundancy, network built, computer network"
may recognize known ciphertexts,"decrypt shared ciphertexts, widely known encryption techniques, purpose commercial telegraph code known, known algorithms, effective known compiler technique, slp  also known, recognize patterns, site scripting vulnerability may, methods may, known examples"
may refer,"term may refer, may also refer specifically, may influence, may indicate, may also, sometimes exclusively refer, may seem, one may use, information may, may depend"
may seem,"may indicate, may also, may influence, answers may, may depend, may refer, world may, may also refer specifically, field may, term may refer"
may use knowledge,"using knowledge, knowledge base, knowledge discovery, available knowledge using logical techniques, expressing knowledge, subject knowledge, may also include prior knowledge, information may, storing knowledge gained, knowledge engineering"
mccarthy evaluation,"john mccarthy, evaluation strategy, partial evaluation, evaluation method, efficient evaluation, strict evaluation, minimal evaluation, short-circuit evaluation, lazy evaluation, symbolic trajectory evaluation"
mcgurk effect arises,"mcgurk effect based, term compressed data structure arises"
mcgurk effect based,"mcgurk effect arises, based machine learning applies, mathematically based techniques whose purpose, based machine learning, based technique, based methods, based approaches, algorithms based, based learning methods, based machine learning systems inspired"
md simulations,"simulations show, computer intensive simulations, 1985 provided simulations, like crash simulations"
mean dimension,"allows mean dimension, zero mean dimension, information dimension, terms mean, mean shift, rnyi information dimension, called mean shift, mean field annealing, nearest mean, mean something different"
mean field annealing,"simulated annealing technique, wide field, vector field, emergent gauge field, next field, field manual 34, comparatively small field, field saw many optimizations, sub field, mean dimension"
mean firing rate,"action potential firing, whether neurons use rate coding, mean shift procedure, heart rate, mean shift, mean shift algorithm, called mean shift, nearest mean, compression rate, mean optimizes squared errors"
mean optimizes squared errors,"errors introduced thereby, conveniently eliminates rounding errors, mean shift algorithm, mean shift, allows mean dimension, mean field annealing, mean shift procedure, called mean shift, time errors, mean dimension"
mean shift,"called mean shift, mean shift procedure, mean shift algorithm, offset shift, shift spaces, markov shift, shift cipher, caesar shift, terms mean, mean dimension"
mean shift algorithm,"mean shift procedure, mean shift, called mean shift, offset shift, transformation algorithm, key algorithm, algorithm used, shift cipher, different algorithm, algorithm using"
mean shift procedure,"mean shift, called mean shift, mean shift algorithm, offset shift, shift spaces, markov shift, shift cipher, caesar shift, mean firing rate, simple iterative procedure used"
mean something different,"terms mean, different aspect, different notion, two different ways, different use, different due, mean shift, called mean shift, different direction, different viewpoints"
means clustering,"means clustering tends, means clustering algorithm, good clustering, means clustering minimizes within, means clustering aims, clustering algorithms, k-means clustering, distribution-based clustering, based clustering produces complex models, vector clustering algorithm"
means clustering aims,"means clustering, means clustering tends, means clustering algorithm, good clustering, means clustering minimizes within, clustering algorithms, k-means clustering, based clustering produces complex models, distribution-based clustering, vector clustering algorithm"
means clustering algorithm,"clustering algorithms, means clustering, means clustering tends, good clustering, vector clustering algorithm, means clustering aims, means clustering minimizes within, based clustering produces complex models, speaker clustering, comparative sorting algorithm"
means clustering minimizes within,"means clustering, means clustering tends, means clustering algorithm, good clustering, means clustering aims, clustering algorithms, k-means clustering, distribution-based clustering, based clustering produces complex models, vector clustering algorithm"
means clustering tends,"means clustering, means clustering algorithm, means clustering minimizes within, good clustering, means clustering aims, k-means clustering, distribution-based clustering, clustering algorithms, based clustering produces complex models, vector clustering algorithm"
means recognizing,"one means, means clustering, means clustering aims, means clustering minimizes within, means clustering algorithm, means clustering tends, software blueprint means"
measure information contained,"measure used, automatic measure, measure whose values, certain measure, contains information, related information used, valued measure, units of information, necessary information, collecting information"
measure molecular dynamics,"molecular dynamics models, molecular dynamics generally leads, one molecular dynamics simulation may, molecular mechanics, molecular motion, molecular biology, symbolic dynamics, computational fluid dynamics, hyperbolic dynamics, langevin dynamics"
measure used,"measure information contained, automatic measure, certain measure, measure whose values, measurement instrument used, valued measure, rough measure, holistic measure, method used, parameters used"
measure whose values,"valued measure, measure used, values calculated, measure information contained, certain measure, values taken, automatic measure, observed values, data values, finding specific values"
measured data,"given data, particular data, data analysis, data values, associated data, physical data model, another data, represents data, data model, usable data"
measurement based quantum computing models,"quantum measurement, quantum measurement theory, quantum measurement described, quantum computing, quantum measurement may involve, quantum computation language, cambridge quantum computing, quantum information, quantum information theory, entanglement measurement"
measurement equipment,"measurement instrument used, expensive equipment, quantum measurement, quantum measurement described, quantum measurement theory, entanglement measurement, measurement based quantum computing models, quantum measurement may involve"
measurement instrument used,"measurement equipment, measure used, quantum measurement described, quantum measurement, tool used, quantum measurement theory, techniques used, quantum measurement may involve, technique used, measurement based quantum computing models"
measuring properties,"functions measuring, many properties, varying properties, interesting properties, remarkably good properties, statistical properties, algebraic properties, numerical linear algebra uses properties, properties inherited, excellent error properties"
mechanical systems,"especially biomechanical systems, systems engineering, describe material systems, systems design, systems used, even mechanical elements, systems theory, mathematical systems theory, artificial systems, systems design could"
media player known,"particular media, windows media player 6, commercial cd player, social media, streaming media, narrative media, uncompressed media, computer media, supported streaming media, based media within"
mediated communications,"communications technologies used, communications network, communications security, wireless communications environment, mediated reality, physiologically mediated reality"
mediated reality,"physiologically mediated reality, mixed reality, mediated communications, virtual reality, augmented reality alters one, augmented reality, mixed reality user interfaces workshop, commercial augmented reality experiences, whereas virtual reality completely replaces"
medical imaging,"medical imaging also establishes, although imaging, medical science, medical reasons"
medical imaging also establishes,"medical imaging, although imaging, medical science, medical reasons, also visually, ac  also known, also known, also referred, also related, also reveal"
medical reasons,"medical science, main reasons, medical imaging also establishes, medical imaging"
medical science,"medical imaging, medical reasons, medical imaging also establishes, science seeking, computer science, computer science intended, within computer science, information science, computer science fields, computer science context"
meet third normal form standards,"meet third normal form would, third normal form, sixth normal form, defined sixth normal form, normal form used, usable form, another form, explaining standards, general form, simplified form"
meet third normal form would,"meet third normal form standards, third normal form, sixth normal form, defined sixth normal form, normal form used, another form, single form, conjunctive normal form, third sum, simplified form"
meeting recordings,meeting software requirements rather
meeting software requirements rather,"software requirements analysis, software decomposition whereby fundamental requirements, satisfy specified requirements, activity following requirements specification, business requirements, programming paradigm whereby fundamental requirements, describe information systems rather, aid rather, impractically high bandwidth requirements, excessive memory requirements"
meldable heap,"also meldable heap, meldable heap implementation, randomized meldable heap supports, randomized meldable heap, skew heap, adjusting heap, heap data structure implemented, mergeable heap structures, leftist heap, special skew heap merge"
meldable heap implementation,"also meldable heap, meldable heap, randomized meldable heap supports, heap data structure implemented, randomized meldable heap, adjusting heap, mergeable heap structures, skew heap, special skew heap merge, leftist heap"
membership function,"membership inference, function join, membership inference attacks, diverse membership, basic function, important function, continuous function, function following disease, known function, another function"
membership inference,"membership inference attacks, membership function, inductive inference, several inference problems, diverse membership, perform inference, type inference, variational inference, statistical inference, approximate inference methods make"
membership inference attacks,"membership inference, membership function, several inference problems, perform inference, inductive inference, type inference, statistical inference, approximate inference methods make, variational inference, necessary employing polymorphic recursion  inference"
memory allocation,"special memory allocation libraries, memory management, memory space, conventional dynamic memory allocation libraries, special dynamic memory allocation libraries, memory management within, memory used, memory management unit, memory sharing, automatic memory management"
memory debugger,"memory debuggers, memory debuggers work, might also need memory debuggers, memory management, automatic memory management, memory used, special memory allocation libraries, memory management within, memory location, conventional dynamic memory allocation libraries"
memory debuggers,"memory debugger, memory debuggers work, might also need memory debuggers, many memory debuggers require applications, memory management, memory used, automatic memory management, special memory allocation libraries, computer memory, memory management within"
memory debuggers work,"memory debuggers, memory debugger, might also need memory debuggers, memory used, memory management, special memory allocation libraries, automatic memory management, memory protection, memory management within, memory location"
memory dependence prediction,"memory allocation, memory dependency speculation, memory management, memory management within, memory sharing, automatic memory management, memory protection, based memory management system, special memory allocation libraries, excessive memory requirements"
memory dependency speculation,"memory dependence prediction, special memory allocation libraries, memory management, memory allocation, memory management within, conventional dynamic memory allocation libraries, memory used, memory management unit, special dynamic memory allocation libraries, either manual memory management"
memory leaks,"memory leaks due, memory used, memory protection, computer memory, memory management, internal memory, monitoring memory access, memory sharing, memory management within, memory debuggers work"
memory leaks due,"memory leaks, memory used, memory protection, memory management, monitoring memory access, memory management within, internal memory, memory debuggers work, finding software memory problems, memory debuggers"
memory location,"memory used, memory management, memory search, memory management within, memory sharing, internal memory, memory management unit, memory space, small memory footprint, term memory"
memory management,"memory management within, memory management unit, automatic memory management, based memory management system, either manual memory management, memory used, memory allocation, memory protection, special memory allocation libraries, memory sharing"
memory management unit,"memory management, memory management within, based memory management system, automatic memory management, either manual memory management, memory allocation, special memory allocation libraries, memory protection, original sun 1 memory management unit, memory location"
memory management within,"memory management, memory management unit, automatic memory management, based memory management system, either manual memory management, memory used, memory allocation, memory protection, term memory, memory location"
memory protection,"memory management, memory used, memory management within, memory management unit, automatic memory management, memory sharing, computer memory, memory allocation, special memory allocation libraries, based memory management system"
memory search,"memory location, computer memory, monitoring memory access, memory used, memory management, term memory, memory space, memory sharing, either manual memory management, finding software memory problems"
memory sharing,"memory used, memory management, memory management within, memory allocation, memory location, memory protection, memory space, internal memory, computer memory, memory management unit"
memory space,"memory allocation, memory used, storage space, memory management, memory management within, term memory, memory location, special memory allocation libraries, memory sharing, internal memory"
memory used,"term memory, sometimes called memory, computer memory, memory management, internal memory, memory management within, memory location, memory space, memory sharing, memory protection"
mental states,"mental weaknesses, study affective states, two states, thesis states, graph states, completely random states, quantum graph states, various topologically ordered states, two graph states, degenerate ground states"
mental weaknesses,mental states
mentioned explicitly,"specified explicitly, data model explicitly determines, backfitting algorithm explicitly"
merge operation,"join operation, separate operation, hybrid merge sort, merge path, special skew heap merge, single abstract comparison operation, every operation, main operation performed, easiest operation, autonomous operation"
merge path,"path expressions, merge operation, path expression, path trees, path expression like, hybrid merge sort, path expression language, path expression p, critical path, delegated path discovery"
mergeable heap structures,"heap data structure implemented, special skew heap merge, meldable heap implementation, adjusting heap, also meldable heap, randomized meldable heap supports, randomized meldable heap, abstract data structures, meldable heap, data structures"
merging two heaps,"involved merging, skew heaps, two skew heaps must, two bytes wide using, two matrices w, two parts, two objects, takes two matrices, distributed among two, add two numbers"
message authentication codes,"message authentication codesiso, authentication mechanism, data origin authentication, binary lexicographic codes, server message block, advanced message queuing protocol, error message, smb  server message block, smb2  server message block, minimum message length"
message authentication codesiso,"message authentication codes, authentication mechanism, data origin authentication, advanced message queuing protocol, error message, minimum message length, server message block, message facilitates structure mining, smb  server message block, smb2  server message block"
message facilitates structure mining,"structure mining, text mining, structured data mining, technology mining, fp mining, data mining, search data structure, internet addressing structure, opinion mining, data structure"
messaging open service interface definition,"application programming interface, user interface, user interface software, user interface structure, human interface device class, computer interface, User interface design, user interface design, human interface device, microsoft windows application programming interface"
meta learning,"facilitate meta learning, meta learning algorithm used, based learning, human learning, semi-supervised learning, based learning methods, deep learning, learning performed, transductive learning, learning method"
meta learning algorithm used,"meta learning, facilitate meta learning, metaheuristic algorithm commonly applied, based learning algorithms, learning algorithm, supervised learning algorithm, machine learning algorithms, kernelized learning algorithms, machine learning algorithm studied since 1970s, based learning methods"
metacognition concerned,"also concerned, usually concerned, mostly concerned, concerned scientists states, declarative programming paradigm concerned, artificial intelligence concerned"
metaheuristic algorithm commonly applied,"simplest metaheuristic, meta learning algorithm used, algorithm used, algorithm using, optimization algorithm based, deterministic algorithm, search algorithm, seeking algorithm, algorithm design technique, search algorithm similar"
metamathematics unit,"processing unit, accelerated processing unit, logical unit, making unit situated, memory management unit, original sun 1 memory management unit"
metastable phases,"several phases, multiple phases, equilibrium phases"
meteorological science,"environmental science, information science, science seeking, medical science, acs combinatorial science, acs combinatorial science publishes articles, cognitive science, computer science, materials science, computer science context"
method call,"method used, method first proposed, original method, alternative method, popular method, simplest method, supervised method, factory method lets, Factory method, factory method"
method first proposed,"method used, original method, alternative method, method call, simplest method, popular method, first proposed, supervised method, first suggested, first systematic work"
method used,"alternative method, method call, method first proposed, original method, supervised method, simplest method, techniques used, popular method, technique used, learning method"
methods comprise,"methods including, methods defined, several methods, methods may, two methods, formal methods, effective methods exist, based methods, using formal methods, efficient methods known"
methods defined,"methods comprise, methods including, methods may, formal methods, several methods, two methods, using formal methods, efficient methods known, based methods, effective methods exist"
methods including,"methods comprise, several methods, methods may, methods defined, two methods, formal methods, based methods, using formal methods, effective methods exist, efficient methods known"
methods may,"methods including, methods comprise, several methods, methods defined, two methods, effective methods exist, formal methods, using formal methods, based methods, efficient methods known"
metric facility location problem,"current location estimates, empty location, single location, location awareness, nearest neighbor problem, difficult weber problem, closest following free location, dimensional optimization problem, problem size, travelling salesman problem  tsp"
metric k-center,"metric space study, metric structures, receive quality metric"
metric space study,"metric structures, metric k-center, euclidean space, space mathematical analysis technique, dimensional space, high dimensional space, receive quality metric, vector space, space available, underlying space"
metric structures,"metric space study, physical structures, distance metric, data structures, metric k-center, arbitrary data structures, abstract data structures, matrix structures, fixed structures, receive quality metric"
michael collins,"michael dertouzos, michael halliday"
michael dertouzos,"michael collins, michael halliday"
michael halliday,"michael dertouzos, michael collins"
microbial intelligence,"artificial intelligence, artificial intelligence laboratory, artificial intelligence concerned, use artificial intelligence, artificial intelligence research dedicated, traditional artificial intelligence, symbolic artificial intelligence, intelligence analysis, computational intelligence, subsymbolic artificial intelligence"
microevolutionary processes,"regressive processes, gaussian processes, processes might, business processes within, technological innovation processes, organizations thoroughly analyze processes, enable processes, thinking processes, therapeutic processes, natural neuronal processes"
microprogrammed significance arithmetic,"adjusted significance testing, higher arithmetic, compute arithmetic operations, binary arithmetic, basic arithmetic operations, fifo arithmetic code first introduced, basic arithmetic operations     integer powers, unhandled arithmetic overflow, index arithmetic, symmetric level-index arithmetic"
microsoft created,"microsoft developed, microsoft since, proprietary microsoft technologies intended, microsoft sql server, microsoft windows application programming interface, similarly created"
microsoft developed,"microsoft created, originally developed, subsequently developed, microsoft windows application programming interface, developed later, first developed, technical standard originally developed, open standard developed, optimizing compiler developed, developed greatly since"
