phrase,sentances,,,,,,,,,,,,,,,,,,,
constituent organizations,"The Alliance of Digital Humanities Organizations (ADHO) is a digital humanities umbrella organization formed in 2005 to coordinate the activities of several regional DH organizations, referred to as constituent organizations.",,,,,,,,,,,,,,,,,,,
digital humanities organizations,"The Alliance of Digital Humanities Organizations (ADHO) is a digital humanities umbrella organization formed in 2005 to coordinate the activities of several regional DH organizations, referred to as constituent organizations. !! The Alliance of Digital Humanities Organizations is an umbrella organisation whose goals are to promote and support digital research and teaching across arts and humanities disciplines, drawing together humanists engaged in digital and computer-assisted research, teaching, creation, dissemination, and beyond, in all areas reflected by its diverse membership.",,,,,,,,,,,,,,,,,,,
several regional dh organizations,"The Alliance of Digital Humanities Organizations (ADHO) is a digital humanities umbrella organization formed in 2005 to coordinate the activities of several regional DH organizations, referred to as constituent organizations.",,,,,,,,,,,,,,,,,,,
alliance of digital humanities organizations,"The Alliance of Digital Humanities Organizations (ADHO) is a digital humanities umbrella organization formed in 2005 to coordinate the activities of several regional DH organizations, referred to as constituent organizations. !! The Alliance of Digital Humanities Organizations sponsors special interest groups to facilitate the sharing of ideas about new and innovative problems. !! The Alliance of Digital Humanities Organizations is an umbrella organisation whose goals are to promote and support digital research and teaching across arts and humanities disciplines, drawing together humanists engaged in digital and computer-assisted research, teaching, creation, dissemination, and beyond, in all areas reflected by its diverse membership.",,,,,,,,,,,,,,,,,,,
digital humanities umbrella organization formed,"The Alliance of Digital Humanities Organizations (ADHO) is a digital humanities umbrella organization formed in 2005 to coordinate the activities of several regional DH organizations, referred to as constituent organizations.",,,,,,,,,,,,,,,,,,,
umbrella organisation whose goals,"The Alliance of Digital Humanities Organizations is an umbrella organisation whose goals are to promote and support digital research and teaching across arts and humanities disciplines, drawing together humanists engaged in digital and computer-assisted research, teaching, creation, dissemination, and beyond, in all areas reflected by its diverse membership.",,,,,,,,,,,,,,,,,,,
drawing together humanists engaged,"The Alliance of Digital Humanities Organizations is an umbrella organisation whose goals are to promote and support digital research and teaching across arts and humanities disciplines, drawing together humanists engaged in digital and computer-assisted research, teaching, creation, dissemination, and beyond, in all areas reflected by its diverse membership.",,,,,,,,,,,,,,,,,,,
teaching across arts,"The Alliance of Digital Humanities Organizations is an umbrella organisation whose goals are to promote and support digital research and teaching across arts and humanities disciplines, drawing together humanists engaged in digital and computer-assisted research, teaching, creation, dissemination, and beyond, in all areas reflected by its diverse membership.",,,,,,,,,,,,,,,,,,,
support digital research,"The Alliance of Digital Humanities Organizations is an umbrella organisation whose goals are to promote and support digital research and teaching across arts and humanities disciplines, drawing together humanists engaged in digital and computer-assisted research, teaching, creation, dissemination, and beyond, in all areas reflected by its diverse membership.",,,,,,,,,,,,,,,,,,,
areas reflected,"The Alliance of Digital Humanities Organizations is an umbrella organisation whose goals are to promote and support digital research and teaching across arts and humanities disciplines, drawing together humanists engaged in digital and computer-assisted research, teaching, creation, dissemination, and beyond, in all areas reflected by its diverse membership.",,,,,,,,,,,,,,,,,,,
assisted research,"The Alliance of Digital Humanities Organizations is an umbrella organisation whose goals are to promote and support digital research and teaching across arts and humanities disciplines, drawing together humanists engaged in digital and computer-assisted research, teaching, creation, dissemination, and beyond, in all areas reflected by its diverse membership.",,,,,,,,,,,,,,,,,,,
humanities disciplines,"The Alliance of Digital Humanities Organizations is an umbrella organisation whose goals are to promote and support digital research and teaching across arts and humanities disciplines, drawing together humanists engaged in digital and computer-assisted research, teaching, creation, dissemination, and beyond, in all areas reflected by its diverse membership.",,,,,,,,,,,,,,,,,,,
diverse membership,"The Alliance of Digital Humanities Organizations is an umbrella organisation whose goals are to promote and support digital research and teaching across arts and humanities disciplines, drawing together humanists engaged in digital and computer-assisted research, teaching, creation, dissemination, and beyond, in all areas reflected by its diverse membership.",,,,,,,,,,,,,,,,,,,
innovative problems,The Alliance of Digital Humanities Organizations sponsors special interest groups to facilitate the sharing of ideas about new and innovative problems.,,,,,,,,,,,,,,,,,,,
methods comprise,"In statistics, Markov chain Monte Carlo (MCMC) methods comprise a class of algorithms for sampling from a probability distribution.",,,,,,,,,,,,,,,,,,,
known function,"Markov chain Monte Carlo methods create samples from a continuous random variable, with probability density proportional to a known function.",,,,,,,,,,,,,,,,,,,
continuous random variable,"Markov chain Monte Carlo methods create samples from a continuous random variable, with probability density proportional to a known function.",,,,,,,,,,,,,,,,,,,
probability density proportional,"Markov chain Monte Carlo methods create samples from a continuous random variable, with probability density proportional to a known function.",,,,,,,,,,,,,,,,,,,
grand canonical ensemble,"Markov chain Monte Carlo methods that change dimensionality have long been used in statistical physics applications, where for some problems a distribution that is a grand canonical ensemble is used (e. g. , when the number of molecules in a box is variable).",,,,,,,,,,,,,,,,,,,
change dimensionality,"Markov chain Monte Carlo methods that change dimensionality have long been used in statistical physics applications, where for some problems a distribution that is a grand canonical ensemble is used (e. g. , when the number of molecules in a box is variable).",,,,,,,,,,,,,,,,,,,
statistical physics applications,"Markov chain Monte Carlo methods that change dimensionality have long been used in statistical physics applications, where for some problems a distribution that is a grand canonical ensemble is used (e. g. , when the number of molecules in a box is variable).",,,,,,,,,,,,,,,,,,,
chinese restaurant process,"But the reversible-jump variant is useful when doing Markov chain Monte Carlo or Gibbs sampling over nonparametric Bayesian models such as those involving the Dirichlet process or Chinese restaurant process, where the number of mixing components/clusters/etc.",,,,,,,,,,,,,,,,,,,
jump variant,"But the reversible-jump variant is useful when doing Markov chain Monte Carlo or Gibbs sampling over nonparametric Bayesian models such as those involving the Dirichlet process or Chinese restaurant process, where the number of mixing components/clusters/etc.",,,,,,,,,,,,,,,,,,,
mixing components,"But the reversible-jump variant is useful when doing Markov chain Monte Carlo or Gibbs sampling over nonparametric Bayesian models such as those involving the Dirichlet process or Chinese restaurant process, where the number of mixing components/clusters/etc.",,,,,,,,,,,,,,,,,,,
order execution microprocessors,"Memory dependence prediction is a technique, employed by high-performance out-of-order execution microprocessors that execute memory access operations (loads and stores) out of program order, to predict true dependencies between loads and stores at instruction execution time. !! Memory disambiguation is a set of techniques employed by high-performance out-of-order execution microprocessors that execute memory access instructions (loads and stores) out of program order.",,,,,,,,,,,,,,,,,,,
execute memory access operations,"Memory dependence prediction is a technique, employed by high-performance out-of-order execution microprocessors that execute memory access operations (loads and stores) out of program order, to predict true dependencies between loads and stores at instruction execution time.",,,,,,,,,,,,,,,,,,,
predict true dependencies,"Memory dependence prediction is a technique, employed by high-performance out-of-order execution microprocessors that execute memory access operations (loads and stores) out of program order, to predict true dependencies between loads and stores at instruction execution time.",,,,,,,,,,,,,,,,,,,
instruction execution time,"Memory dependence prediction is a technique, employed by high-performance out-of-order execution microprocessors that execute memory access operations (loads and stores) out of program order, to predict true dependencies between loads and stores at instruction execution time.",,,,,,,,,,,,,,,,,,,
program order,"Memory dependence prediction is a technique, employed by high-performance out-of-order execution microprocessors that execute memory access operations (loads and stores) out of program order, to predict true dependencies between loads and stores at instruction execution time. !! Memory disambiguation is a set of techniques employed by high-performance out-of-order execution microprocessors that execute memory access instructions (loads and stores) out of program order. !! ""To understand this statement, it is essential to understand one key property of sequential consistency: execution order of program in the same processor (or thread) is the same as the program order, while execution order of program between processors (or threads) is undefined.",,,,,,,,,,,,,,,,,,,
memory location,"In general, memory dependence prediction predicts whether two memory operations are dependent, that is, if they interact by accessing the same memory location.",,,,,,,,,,,,,,,,,,,
order scheduling,"Besides using store to load (RAW or true) memory dependence prediction for the out-of-order scheduling of loads and stores, other applications of memory dependence prediction have been proposed.",,,,,,,,,,,,,,,,,,,
besides using store,"Besides using store to load (RAW or true) memory dependence prediction for the out-of-order scheduling of loads and stores, other applications of memory dependence prediction have been proposed.",,,,,,,,,,,,,,,,,,,
memory dependency speculation,Memory dependence prediction is an optimization on top of memory dependency speculation.,,,,,,,,,,,,,,,,,,,
violation may occur,Selective memory dependence prediction stalls specific loads until it is certain that no violation may occur.,,,,,,,,,,,,,,,,,,,
language intended specifically,A model transformation language in systems and software engineering is a language intended specifically for model transformation.,,,,,,,,,,,,,,,,,,,
model transformation language,"A model transformation language in systems and software engineering is a language intended specifically for model transformation. !! The OMG has standardised a family of model transformation languages called QVT, but the field is still immature. !! Currently, most model transformation languages are being developed in academia. !! For writing bidirectional model transformations, which maintain consistency between two or more models, a specialist bidirectional model transformation language is particularly important, because it can help avoid the duplication that would result from writing each direction of the transformation separately. !! However, special-purpose model transformation languages can offer advantages, such as syntax that makes it easy to refer to model elements.",,,,,,,,,,,,,,,,,,,
model transformation,A model transformation language in systems and software engineering is a language intended specifically for model transformation.,,,,,,,,,,,,,,,,,,,
offer advantages,"However, special-purpose model transformation languages can offer advantages, such as syntax that makes it easy to refer to model elements.",,,,,,,,,,,,,,,,,,,
purpose model transformation languages,"However, special-purpose model transformation languages can offer advantages, such as syntax that makes it easy to refer to model elements.",,,,,,,,,,,,,,,,,,,
writing bidirectional model transformations,"For writing bidirectional model transformations, which maintain consistency between two or more models, a specialist bidirectional model transformation language is particularly important, because it can help avoid the duplication that would result from writing each direction of the transformation separately.",,,,,,,,,,,,,,,,,,,
specialist bidirectional model transformation language,"For writing bidirectional model transformations, which maintain consistency between two or more models, a specialist bidirectional model transformation language is particularly important, because it can help avoid the duplication that would result from writing each direction of the transformation separately.",,,,,,,,,,,,,,,,,,,
maintain consistency,"For writing bidirectional model transformations, which maintain consistency between two or more models, a specialist bidirectional model transformation language is particularly important, because it can help avoid the duplication that would result from writing each direction of the transformation separately.",,,,,,,,,,,,,,,,,,,
help avoid,"For writing bidirectional model transformations, which maintain consistency between two or more models, a specialist bidirectional model transformation language is particularly important, because it can help avoid the duplication that would result from writing each direction of the transformation separately.",,,,,,,,,,,,,,,,,,,
would result,"For writing bidirectional model transformations, which maintain consistency between two or more models, a specialist bidirectional model transformation language is particularly important, because it can help avoid the duplication that would result from writing each direction of the transformation separately.",,,,,,,,,,,,,,,,,,,
particularly important,"Quality of service is particularly important for the transport of traffic with special requirements. !! Full backward compatibility is particularly important in computer instruction set architectures, one of the most successful being the x86 family of microprocessors. !! For writing bidirectional model transformations, which maintain consistency between two or more models, a specialist bidirectional model transformation language is particularly important, because it can help avoid the duplication that would result from writing each direction of the transformation separately.",,,,,,,,,,,,,,,,,,,
transformation separately,"For writing bidirectional model transformations, which maintain consistency between two or more models, a specialist bidirectional model transformation language is particularly important, because it can help avoid the duplication that would result from writing each direction of the transformation separately.",,,,,,,,,,,,,,,,,,,
model transformation languages,"Currently, most model transformation languages are being developed in academia.",,,,,,,,,,,,,,,,,,,
still immature,"The OMG has standardised a family of model transformation languages called QVT, but the field is still immature.",,,,,,,,,,,,,,,,,,,
model transformation languages called qvt,"The OMG has standardised a family of model transformation languages called QVT, but the field is still immature.",,,,,,,,,,,,,,,,,,,
considered simultaneously,Symbolic simulation is a form of simulation where many possible executions of a system are considered simultaneously.,,,,,,,,,,,,,,,,,,,
symbolic simulation,"Techniques such as symbolic trajectory evaluation (STE) and generalized symbolic trajectory evaluation (GSTE) are based on this idea of symbolic simulation. !! Because symbolic simulation can cover many system executions in a single simulation, it can greatly reduce the size of verification problems. !! Symbolic simulation is a form of simulation where many possible executions of a system are considered simultaneously. !! Symbolic trajectory evaluation (STE) is a lattice-based model checking technology that uses a form of symbolic simulation.",,,,,,,,,,,,,,,,,,,
many possible executions,Symbolic simulation is a form of simulation where many possible executions of a system are considered simultaneously.,,,,,,,,,,,,,,,,,,,
greatly reduce,"Because symbolic simulation can cover many system executions in a single simulation, it can greatly reduce the size of verification problems.",,,,,,,,,,,,,,,,,,,
verification problems,"Because symbolic simulation can cover many system executions in a single simulation, it can greatly reduce the size of verification problems.",,,,,,,,,,,,,,,,,,,
cover many system executions,"Because symbolic simulation can cover many system executions in a single simulation, it can greatly reduce the size of verification problems.",,,,,,,,,,,,,,,,,,,
single simulation,"Because symbolic simulation can cover many system executions in a single simulation, it can greatly reduce the size of verification problems.",,,,,,,,,,,,,,,,,,,
symbolic trajectory evaluation,Techniques such as symbolic trajectory evaluation (STE) and generalized symbolic trajectory evaluation (GSTE) are based on this idea of symbolic simulation. !! Symbolic trajectory evaluation (STE) is a lattice-based model checking technology that uses a form of symbolic simulation.,,,,,,,,,,,,,,,,,,,
generalized symbolic trajectory evaluation,Techniques such as symbolic trajectory evaluation (STE) and generalized symbolic trajectory evaluation (GSTE) are based on this idea of symbolic simulation.,,,,,,,,,,,,,,,,,,,
many well,Many well-known recursive algorithms generate an entirely new piece of data from the given data and recur on it.,,,,,,,,,,,,,,,,,,,
known recursive algorithms generate,Many well-known recursive algorithms generate an entirely new piece of data from the given data and recur on it.,,,,,,,,,,,,,,,,,,,
given data,Many well-known recursive algorithms generate an entirely new piece of data from the given data and recur on it.,,,,,,,,,,,,,,,,,,,
entirely new piece,Many well-known recursive algorithms generate an entirely new piece of data from the given data and recur on it.,,,,,,,,,,,,,,,,,,,
repeated function calls,"Recursive algorithms are often inefficient for small data, due to the overhead of repeated function calls and returns.",,,,,,,,,,,,,,,,,,,
small data,"Recursive algorithms are often inefficient for small data, due to the overhead of repeated function calls and returns.",,,,,,,,,,,,,,,,,,,
often inefficient,"Recursive algorithms are often inefficient for small data, due to the overhead of repeated function calls and returns.",,,,,,,,,,,,,,,,,,,
recursive algorithms often start,"For this reason efficient implementations of recursive algorithms often start with the recursive algorithm, but then switch to a different algorithm when the input becomes small.",,,,,,,,,,,,,,,,,,,
different algorithm,"For this reason efficient implementations of recursive algorithms often start with the recursive algorithm, but then switch to a different algorithm when the input becomes small.",,,,,,,,,,,,,,,,,,,
input becomes small,"For this reason efficient implementations of recursive algorithms often start with the recursive algorithm, but then switch to a different algorithm when the input becomes small.",,,,,,,,,,,,,,,,,,,
reason efficient implementations,"For this reason efficient implementations of recursive algorithms often start with the recursive algorithm, but then switch to a different algorithm when the input becomes small.",,,,,,,,,,,,,,,,,,,
insertion sort,"Hybrid recursive algorithms can often be further refined, as in Timsort, derived from a hybrid merge sort/insertion sort. !! In computer science, merge-insertion sort or the FordJohnson algorithm is a comparison sorting algorithm published in 1959 by L. R. Ford Jr. and Selmer M. Johnson. !! For 20 years, merge-insertion sort was the sorting algorithm with the fewest comparisons known for all input lengths. !! Block sort, or block merge sort, is a sorting algorithm combining at least two merge operations with an insertion sort to arrive at O(n log n) in-place stable sorting.",,,,,,,,,,,,,,,,,,,
much less,"In some programming languages, the maximum size of the call stack is much less than the space available in the heap, and recursive algorithms tend to require more stack space than iterative algorithms.",,,,,,,,,,,,,,,,,,,
recursive algorithms tend,"In some programming languages, the maximum size of the call stack is much less than the space available in the heap, and recursive algorithms tend to require more stack space than iterative algorithms.",,,,,,,,,,,,,,,,,,,
maximum size,"In some programming languages, the maximum size of the call stack is much less than the space available in the heap, and recursive algorithms tend to require more stack space than iterative algorithms.",,,,,,,,,,,,,,,,,,,
space available,"In some programming languages, the maximum size of the call stack is much less than the space available in the heap, and recursive algorithms tend to require more stack space than iterative algorithms.",,,,,,,,,,,,,,,,,,,
units of information,"In information theory, units of information are also used to measure information contained in messages and the entropy of random variables.",,,,,,,,,,,,,,,,,,,
measure information contained,"In information theory, units of information are also used to measure information contained in messages and the entropy of random variables.",,,,,,,,,,,,,,,,,,,
square matrix used,"In graph theory and computer science, an adjacency matrix is a square matrix used to represent a finite graph. !! In mathematics, a stochastic matrix is a square matrix used to describe the transitions of a Markov chain.",,,,,,,,,,,,,,,,,,,
first developed,"The lexicographic breadth-first search algorithm is based on the idea of partition refinement and was first developed by Donald J. !! Inline caching is an optimization technique employed by some language runtimes, and first developed for Smalltalk. !! :911 The stochastic matrix was first developed by Andrey Markov at the beginning of the 20th century, and has found use throughout a wide variety of scientific fields, including probability theory, statistics, mathematical finance and linear algebra, as well as computer science and population genetics.",,,,,,,,,,,,,,,,,,,
population genetics,":911 The stochastic matrix was first developed by Andrey Markov at the beginning of the 20th century, and has found use throughout a wide variety of scientific fields, including probability theory, statistics, mathematical finance and linear algebra, as well as computer science and population genetics.",,,,,,,,,,,,,,,,,,,
scientific fields,":911 The stochastic matrix was first developed by Andrey Markov at the beginning of the 20th century, and has found use throughout a wide variety of scientific fields, including probability theory, statistics, mathematical finance and linear algebra, as well as computer science and population genetics.",,,,,,,,,,,,,,,,,,,
andrey markov,":911 The stochastic matrix was first developed by Andrey Markov at the beginning of the 20th century, and has found use throughout a wide variety of scientific fields, including probability theory, statistics, mathematical finance and linear algebra, as well as computer science and population genetics.",,,,,,,,,,,,,,,,,,,
20th century,"The development of the computer algebra systems in the second half of the 20th century is part of the discipline of ""computer algebra"" or ""symbolic computation"", which has spurred work in algorithms over mathematical objects such as polynomials. !! :911 The stochastic matrix was first developed by Andrey Markov at the beginning of the 20th century, and has found use throughout a wide variety of scientific fields, including probability theory, statistics, mathematical finance and linear algebra, as well as computer science and population genetics. !! The history of quantum information theory began at the turn of the 20th century when classical physics was revolutionized into quantum physics.",,,,,,,,,,,,,,,,,,,
including probability theory,":911 The stochastic matrix was first developed by Andrey Markov at the beginning of the 20th century, and has found use throughout a wide variety of scientific fields, including probability theory, statistics, mathematical finance and linear algebra, as well as computer science and population genetics.",,,,,,,,,,,,,,,,,,,
found use throughout,":911 The stochastic matrix was first developed by Andrey Markov at the beginning of the 20th century, and has found use throughout a wide variety of scientific fields, including probability theory, statistics, mathematical finance and linear algebra, as well as computer science and population genetics.",,,,,,,,,,,,,,,,,,,
mathematical finance,":911 The stochastic matrix was first developed by Andrey Markov at the beginning of the 20th century, and has found use throughout a wide variety of scientific fields, including probability theory, statistics, mathematical finance and linear algebra, as well as computer science and population genetics.",,,,,,,,,,,,,,,,,,,
row summing,"A right stochastic matrix is a real square matrix, with each row summing to 1.",,,,,,,,,,,,,,,,,,,
real square matrix,"A left stochastic matrix is a real square matrix, with each column summing to 1. !! A right stochastic matrix is a real square matrix, with each row summing to 1.",,,,,,,,,,,,,,,,,,,
column summing,"A doubly stochastic matrix is a square matrix of nonnegative real numbers with each row and column summing to 1. !! A left stochastic matrix is a real square matrix, with each column summing to 1.",,,,,,,,,,,,,,,,,,,
nonnegative real numbers,A doubly stochastic matrix is a square matrix of nonnegative real numbers with each row and column summing to 1.,,,,,,,,,,,,,,,,,,,
square matrix,"Consequently, if all singular values of a square matrix M are non-degenerate and non-zero, then its singular value decomposition is unique, up to multiplication of a column of U by a unit-phase factor and simultaneous multiplication of the corresponding column of V by the same unit-phase factor. !! A doubly stochastic matrix is a square matrix of nonnegative real numbers with each row and column summing to 1. !! In the mathematical discipline of linear algebra, a triangular matrix is a special kind of square matrix. !! In linear algebra, a circulant matrix is a square matrix in which all row vectors are composed of the same elements and each row vector is rotated one element to the right relative to the preceding row vector.",,,,,,,,,,,,,,,,,,,
doubly stochastic matrix,A doubly stochastic matrix is a square matrix of nonnegative real numbers with each row and column summing to 1.,,,,,,,,,,,,,,,,,,,
singleton set,The only non-singleton set with this property is the empty set. !! The statement above shows that the singleton sets are precisely the terminal objects in the category Set of sets. !! Every singleton set is an ultra prefilter.,,,,,,,,,,,,,,,,,,,
ultra prefilter,Every singleton set is an ultra prefilter.,,,,,,,,,,,,,,,,,,,
every singleton set,Every singleton set is an ultra prefilter.,,,,,,,,,,,,,,,,,,,
singleton sets,The statement above shows that the singleton sets are precisely the terminal objects in the category Set of sets.,,,,,,,,,,,,,,,,,,,
category set,The statement above shows that the singleton sets are precisely the terminal objects in the category Set of sets.,,,,,,,,,,,,,,,,,,,
terminal objects,The statement above shows that the singleton sets are precisely the terminal objects in the category Set of sets.,,,,,,,,,,,,,,,,,,,
jacobi method for complex hermitian matrices,"In mathematics, the Jacobi method for complex Hermitian matrices is a generalization of the Jacobi iteration method.",,,,,,,,,,,,,,,,,,,
creating objects without,"In class-based programming, the factory method pattern is a creational pattern that uses factory methods to deal with the problem of creating objects without having to specify the exact class of the object that will be created.",,,,,,,,,,,,,,,,,,,
exact class,"In class-based programming, the factory method pattern is a creational pattern that uses factory methods to deal with the problem of creating objects without having to specify the exact class of the object that will be created.",,,,,,,,,,,,,,,,,,,
uses factory methods,"In class-based programming, the factory method pattern is a creational pattern that uses factory methods to deal with the problem of creating objects without having to specify the exact class of the object that will be created.",,,,,,,,,,,,,,,,,,,
base class,"This is done by creating objects by calling a factory methodeither specified in an interface and implemented by child classes, or implemented in a base class and optionally overridden by derived classesrather than by calling a constructor.",,,,,,,,,,,,,,,,,,,
factory methodeither specified,"This is done by creating objects by calling a factory methodeither specified in an interface and implemented by child classes, or implemented in a base class and optionally overridden by derived classesrather than by calling a constructor.",,,,,,,,,,,,,,,,,,,
child classes,"This is done by creating objects by calling a factory methodeither specified in an interface and implemented by child classes, or implemented in a base class and optionally overridden by derived classesrather than by calling a constructor.",,,,,,,,,,,,,,,,,,,
creating objects,"This is done by creating objects by calling a factory methodeither specified in an interface and implemented by child classes, or implemented in a base class and optionally overridden by derived classesrather than by calling a constructor.",,,,,,,,,,,,,,,,,,,
optionally overridden,"This is done by creating objects by calling a factory methodeither specified in an interface and implemented by child classes, or implemented in a base class and optionally overridden by derived classesrather than by calling a constructor.",,,,,,,,,,,,,,,,,,,
derived classesrather,"This is done by creating objects by calling a factory methodeither specified in an interface and implemented by child classes, or implemented in a base class and optionally overridden by derived classesrather than by calling a constructor.",,,,,,,,,,,,,,,,,,,
separate operation,Define a separate operation (factory method) for creating an object.,,,,,,,,,,,,,,,,,,,
class defer instantiation,"The Factory method lets a class defer instantiation it uses to subclasses. """,,,,,,,,,,,,,,,,,,,
factory method lets,"The Factory method lets a class defer instantiation it uses to subclasses. """,,,,,,,,,,,,,,,,,,,
undirected graph along,A recurrent neural network (RNN) is a class of artificial neural networks where connections between nodes form a directed or undirected graph along a temporal sequence.,,,,,,,,,,,,,,,,,,,
nodes form,A recurrent neural network (RNN) is a class of artificial neural networks where connections between nodes form a directed or undirected graph along a temporal sequence.,,,,,,,,,,,,,,,,,,,
infinite impulse response,"The term ""recurrent neural network"" is used to refer to the class of networks with an infinite impulse response, whereas ""convolutional neural network"" refers to the class of finite impulse response.",,,,,,,,,,,,,,,,,,,
finite impulse response,"The term ""recurrent neural network"" is used to refer to the class of networks with an infinite impulse response, whereas ""convolutional neural network"" refers to the class of finite impulse response.",,,,,,,,,,,,,,,,,,,
discourage theft,"A car alarm is an electronic device installed in a vehicle in an attempt to discourage theft of the vehicle itself, its contents, or both.",,,,,,,,,,,,,,,,,,,
electronic device installed,"A car alarm is an electronic device installed in a vehicle in an attempt to discourage theft of the vehicle itself, its contents, or both.",,,,,,,,,,,,,,,,,,,
car alarm,"A car alarm is an electronic device installed in a vehicle in an attempt to discourage theft of the vehicle itself, its contents, or both. !! An early version of a car alarm for use as a theft deterrent was invented by an unknown prisoner from Denver in 1913. !! Remote car alarms typically consist of an additional radio receiver that allows the owner to wirelessly control the alarm from a key fob. !! Car alarms work by emitting high-volume sound (often a vehicle-mounted siren, klaxon, pre-recorded verbal warning, the vehicle's own horn, or a combination of these) when the conditions necessary for triggering it are met. !! Car alarms should not be confused with immobilizers; although the purpose of both may be to deter car theft, they operate in a dissimilar fashion.",,,,,,,,,,,,,,,,,,,
car alarms work,"Car alarms work by emitting high-volume sound (often a vehicle-mounted siren, klaxon, pre-recorded verbal warning, the vehicle's own horn, or a combination of these) when the conditions necessary for triggering it are met.",,,,,,,,,,,,,,,,,,,
volume sound,"Car alarms work by emitting high-volume sound (often a vehicle-mounted siren, klaxon, pre-recorded verbal warning, the vehicle's own horn, or a combination of these) when the conditions necessary for triggering it are met.",,,,,,,,,,,,,,,,,,,
recorded verbal warning,"Car alarms work by emitting high-volume sound (often a vehicle-mounted siren, klaxon, pre-recorded verbal warning, the vehicle's own horn, or a combination of these) when the conditions necessary for triggering it are met.",,,,,,,,,,,,,,,,,,,
emitting high,"Car alarms work by emitting high-volume sound (often a vehicle-mounted siren, klaxon, pre-recorded verbal warning, the vehicle's own horn, or a combination of these) when the conditions necessary for triggering it are met.",,,,,,,,,,,,,,,,,,,
conditions necessary,"Car alarms work by emitting high-volume sound (often a vehicle-mounted siren, klaxon, pre-recorded verbal warning, the vehicle's own horn, or a combination of these) when the conditions necessary for triggering it are met.",,,,,,,,,,,,,,,,,,,
mounted siren,"Car alarms work by emitting high-volume sound (often a vehicle-mounted siren, klaxon, pre-recorded verbal warning, the vehicle's own horn, or a combination of these) when the conditions necessary for triggering it are met.",,,,,,,,,,,,,,,,,,,
unknown prisoner,An early version of a car alarm for use as a theft deterrent was invented by an unknown prisoner from Denver in 1913.,,,,,,,,,,,,,,,,,,,
theft deterrent,An early version of a car alarm for use as a theft deterrent was invented by an unknown prisoner from Denver in 1913.,,,,,,,,,,,,,,,,,,,
early version,An early version of a car alarm for use as a theft deterrent was invented by an unknown prisoner from Denver in 1913.,,,,,,,,,,,,,,,,,,,
car alarms,"Car alarms should not be confused with immobilizers; although the purpose of both may be to deter car theft, they operate in a dissimilar fashion.",,,,,,,,,,,,,,,,,,,
dissimilar fashion,"Car alarms should not be confused with immobilizers; although the purpose of both may be to deter car theft, they operate in a dissimilar fashion.",,,,,,,,,,,,,,,,,,,
deter car theft,"Car alarms should not be confused with immobilizers; although the purpose of both may be to deter car theft, they operate in a dissimilar fashion.",,,,,,,,,,,,,,,,,,,
key fob,Remote car alarms typically consist of an additional radio receiver that allows the owner to wirelessly control the alarm from a key fob.,,,,,,,,,,,,,,,,,,,
wirelessly control,Remote car alarms typically consist of an additional radio receiver that allows the owner to wirelessly control the alarm from a key fob.,,,,,,,,,,,,,,,,,,,
additional radio receiver,Remote car alarms typically consist of an additional radio receiver that allows the owner to wirelessly control the alarm from a key fob.,,,,,,,,,,,,,,,,,,,
remote car alarms typically consist,Remote car alarms typically consist of an additional radio receiver that allows the owner to wirelessly control the alarm from a key fob.,,,,,,,,,,,,,,,,,,,
consistent manner,URI normalization is the process by which URIs are modified and standardized in a consistent manner.,,,,,,,,,,,,,,,,,,,
duplicate pages,Search engines employ URI normalization in order to assign importance to web pages and to reduce indexing of duplicate pages.,,,,,,,,,,,,,,,,,,,
search engines employ uri normalization,Search engines employ URI normalization in order to assign importance to web pages and to reduce indexing of duplicate pages.,,,,,,,,,,,,,,,,,,,
assign importance,Search engines employ URI normalization in order to assign importance to web pages and to reduce indexing of duplicate pages.,,,,,,,,,,,,,,,,,,,
reduce indexing,Search engines employ URI normalization in order to assign importance to web pages and to reduce indexing of duplicate pages.,,,,,,,,,,,,,,,,,,,
avoid crawling,Web crawlers perform URI normalization in order to avoid crawling the same resource more than once.,,,,,,,,,,,,,,,,,,,
web crawlers perform uri normalization,Web crawlers perform URI normalization in order to avoid crawling the same resource more than once.,,,,,,,,,,,,,,,,,,,
chart used,"A phase diagram in physical chemistry, engineering, mineralogy, and materials science is a type of chart used to show conditions (pressure, temperature, volume, etc. )",,,,,,,,,,,,,,,,,,,
phase diagram,"A phase diagram in physical chemistry, engineering, mineralogy, and materials science is a type of chart used to show conditions (pressure, temperature, volume, etc. ) !! Common components of a phase diagram are lines of equilibrium or phase boundaries, which refer to lines that mark conditions under which multiple phases can coexist at equilibrium. !! For example, the water phase diagram has a triple point corresponding to the single temperature and pressure at which solid, liquid, and gaseous water can coexist in a stable equilibrium (273. !! Triple points are points on phase diagrams where lines of equilibrium intersect. !! Metastable phases are not shown in phase diagrams as, despite their common occurrence, they are not equilibrium phases.",,,,,,,,,,,,,,,,,,,
physical chemistry,"A phase diagram in physical chemistry, engineering, mineralogy, and materials science is a type of chart used to show conditions (pressure, temperature, volume, etc. )",,,,,,,,,,,,,,,,,,,
show conditions,"A phase diagram in physical chemistry, engineering, mineralogy, and materials science is a type of chart used to show conditions (pressure, temperature, volume, etc. )",,,,,,,,,,,,,,,,,,,
common components,"Common components of a phase diagram are lines of equilibrium or phase boundaries, which refer to lines that mark conditions under which multiple phases can coexist at equilibrium.",,,,,,,,,,,,,,,,,,,
