phrase,sentances
incident edges,"There are more refined algorithms to cope with some of these issues, for example iterated snap rounding guarantees a ""large"" separation between points and non-incident edges."
network scheduling algorithms,"There are several network schedulers available for the different operating systems, that implement many of the existing network scheduling algorithms."
automatic target recognition,Automatic target recognition (ATR) is the ability for an algorithm or device to recognize targets or other objects based on data obtained from sensors.
generative adversarial network,Generative Adversarial Networks in Computer Vision: A Survey and Taxonomy. !! A generative adversarial network (GAN) is a class of machine learning frameworks designed by Ian Goodfellow and his colleagues in June 2014. !! A Style-Based Generator Architecture for Generative Adversarial Networks.
adversarial network,"Generative Adversarial Networks in Computer Vision: A Survey and Taxonomy. !! A generative adversarial network (GAN) is a class of machine learning frameworks designed by Ian Goodfellow and his colleagues in June 2014. !! An idea involving adversarial networks was published in a 2010 blog post by Olli Niemitalo. !! Beginning in 2017, GAN technology began to make its presence felt in the fine arts arena with the appearance of a newly developed implementation which was said to have crossed the threshold of being able to generate unique and appealing abstract paintings, and thus dubbed a ""CAN"", for ""creative adversarial network"". !! A Style-Based Generator Architecture for Generative Adversarial Networks."
creative adversarial network,"Beginning in 2017, GAN technology began to make its presence felt in the fine arts arena with the appearance of a newly developed implementation which was said to have crossed the threshold of being able to generate unique and appealing abstract paintings, and thus dubbed a ""CAN"", for ""creative adversarial network""."
ontology learning,"Ontology learning (ontology extraction, ontology generation, or ontology acquisition) is the automatic or semi-automatic creation of ontologies, including extracting the corresponding domain's terms and the relationships between the concepts that these terms represent from a corpus of natural language text, and encoding them with an ontology language for easy retrieval. !! Ontology Learning and Population: Bridging the Gap between Text and Knowledge, Series information for Frontiers in Artificial Intelligence and Applications, IOS Press, 2008. !! The process is usually split into the following eight tasks, which are not all necessarily applied in every ontology learning system. !! Ontology learning (OL) is used to (semi-)automatically extract whole ontologies from natural language text. !! Ontology Learning from Text: Methods, Evaluation and Applications, Series information for Frontiers in Artificial Intelligence and Applications, IOS Press, 2005."
ontology language,"Ontology learning (ontology extraction, ontology generation, or ontology acquisition) is the automatic or semi-automatic creation of ontologies, including extracting the corresponding domain's terms and the relationships between the concepts that these terms represent from a corpus of natural language text, and encoding them with an ontology language for easy retrieval."
ontology acquisition,"Ontology learning (ontology extraction, ontology generation, or ontology acquisition) is the automatic or semi-automatic creation of ontologies, including extracting the corresponding domain's terms and the relationships between the concepts that these terms represent from a corpus of natural language text, and encoding them with an ontology language for easy retrieval."
ontology extraction,"Ontology learning (ontology extraction, ontology generation, or ontology acquisition) is the automatic or semi-automatic creation of ontologies, including extracting the corresponding domain's terms and the relationships between the concepts that these terms represent from a corpus of natural language text, and encoding them with an ontology language for easy retrieval."
ontology generation,"Ontology learning (ontology extraction, ontology generation, or ontology acquisition) is the automatic or semi-automatic creation of ontologies, including extracting the corresponding domain's terms and the relationships between the concepts that these terms represent from a corpus of natural language text, and encoding them with an ontology language for easy retrieval."
zero polynomial,"The sum, product, or quotient (excepting division by the zero polynomial) of two rational functions is itself a rational function."
rational functions,"Using the definition of rational functions as equivalence classes gets around this, since x/x is equivalent to 1/1. !! The sum, product, or quotient (excepting division by the zero polynomial) of two rational functions is itself a rational function. !! First, for known target functions approximation theory is the branch of numerical analysis that investigates how certain known functions (for example, special functions) can be approximated by a specific class of functions (for example, polynomials or rational functions) that often have desirable properties (inexpensive computation, continuity, integral and limit values, etc. !! Rational functions are used in numerical analysis for interpolation and approximation of functions, for example the Pad approximations introduced by Henri Pad. !! Rational functions are representative examples of meromorphic functions. !! Iteration of rational functions (maps) on the on the Riemann sphere creates discrete dynamical systems."
meromorphic functions,Rational functions are representative examples of meromorphic functions.
single pass,"Reservoir sampling is a family of randomized algorithms for choosing a simple random sample, without replacement, of k items from a population of unknown size n in a single pass over the items."
reservoir sampling,"Reservoir sampling is a family of randomized algorithms for choosing a simple random sample, without replacement, of k items from a population of unknown size n in a single pass over the items. !! The following algorithm was given by Efraimidis and Spirakis that uses interpretation 1:This algorithm is identical to the algorithm given in Reservoir Sampling with Random Sort except for the generation of the items' keys."
syntactically ambiguous input,Some parsing algorithms may generate a parse forest or list of parse trees for a syntactically ambiguous input.
parsing algorithms,"Parsing algorithms for natural language cannot rely on the grammar having 'nice' properties as with manually designed grammars for programming languages. !! Some graphical parsing algorithms have been designed for visual programming languages. !! Some parsing algorithms may generate a parse forest or list of parse trees for a syntactically ambiguous input. !! Adaptive parsing algorithms have been used to construct ""self-extending"" natural language user interfaces."
graphical parsing algorithms,Some graphical parsing algorithms have been designed for visual programming languages.
adaptive parsing algorithms,"Adaptive parsing algorithms have been used to construct ""self-extending"" natural language user interfaces."
mathematical theory,"In the mathematical theory of probability, an absorbing Markov chain is a Markov chain in which every state can reach an absorbing state. !! In queueing theory, a discipline within the mathematical theory of probability, a polling system or polling model is a system where a single server visits a set of queues in some order. !! Modern cryptography is heavily based on mathematical theory and computer science practice; cryptographic algorithms are designed around computational hardness assumptions, making such algorithms hard to break in actual practice by any adversary."
modern cryptography,"Cryptographic hash functions are a basic tool of modern cryptography. !! Modern cryptography is heavily based on mathematical theory and computer science practice; cryptographic algorithms are designed around computational hardness assumptions, making such algorithms hard to break in actual practice by any adversary."
cryptographic algorithms,"The 1995 case Bernstein v. United States ultimately resulted in a 1999 decision that printed source code for cryptographic algorithms and systems was protected as free speech by the United States Constitution. !! Lightweight cryptography (LWC) concerns cryptographic algorithms developed for a strictly constrained environment. !! Cryptographic Hash Functions are cryptographic algorithms that are ways to generate and utilize specific keys to encrypt data for either symmetric or asymmetric encryption, and such functions may be viewed as keys themselves. !! Modern cryptography is heavily based on mathematical theory and computer science practice; cryptographic algorithms are designed around computational hardness assumptions, making such algorithms hard to break in actual practice by any adversary."
asymmetric encryption,"Cryptographic Hash Functions are cryptographic algorithms that are ways to generate and utilize specific keys to encrypt data for either symmetric or asymmetric encryption, and such functions may be viewed as keys themselves."
cryptographic hash functions,"Most cryptographic hash functions are designed to take a string of any length as input and produce a fixed-length hash value. !! Checksum algorithms, such as CRC32 and other cyclic redundancy checks, are designed to meet much weaker requirements and are generally unsuitable as cryptographic hash functions. !! Cryptographic hash functions are a basic tool of modern cryptography. !! a small change to a message should change the hash value so extensively that a new hash value appears uncorrelated with the old hash value (avalanche effect)Cryptographic hash functions have many information-security applications, notably in digital signatures, message authentication codes (MACs), and other forms of authentication. !! Cryptographic Hash Functions are cryptographic algorithms that are ways to generate and utilize specific keys to encrypt data for either symmetric or asymmetric encryption, and such functions may be viewed as keys themselves. !! Currently, popular cryptographic hash functions are vulnerable to length-extension attacks: given hash(m) and len(m) but not m, by choosing a suitable m an attacker can calculate hash(m m), where denotes concatenation."
utilize specific keys,"Cryptographic Hash Functions are cryptographic algorithms that are ways to generate and utilize specific keys to encrypt data for either symmetric or asymmetric encryption, and such functions may be viewed as keys themselves."
encrypt data,"Cryptographic Hash Functions are cryptographic algorithms that are ways to generate and utilize specific keys to encrypt data for either symmetric or asymmetric encryption, and such functions may be viewed as keys themselves."
lightweight cryptography,Lightweight cryptography (LWC) concerns cryptographic algorithms developed for a strictly constrained environment.
strictly constrained environment,Lightweight cryptography (LWC) concerns cryptographic algorithms developed for a strictly constrained environment.
program execution,"Some programming languages allow a program to operate differently or even have a different control flow than the source code, as long as it exhibits the same user-visible side effects, if undefined behavior never happens during program execution. !! For interpreted languages, however, a syntax error may be detected during program execution, and an interpreter's error messages might not differentiate syntax errors from errors of other kinds."
main memory,The F state in the MESIF protocol is simply a way to choose one of the sharers of a clean cache line to respond to a read request for data using a direct cache-to-cache transfer instead of waiting for the data to come from the main memory. !! A CPU cache is a hardware cache used by the central processing unit (CPU) of a computer to reduce the average cost (time or energy) to access data from the main memory. !! Memory footprint refers to the amount of main memory that a program uses or references while running.
tlb cache,"However, the TLB cache is part of the memory management unit (MMU) and not directly related to the CPU caches."
cpu caches,"However, the TLB cache is part of the memory management unit (MMU) and not directly related to the CPU caches. !! Memory part 2: CPU caches an article on lwn."
victim cache,A victim cache is a cache used to hold blocks evicted from a CPU cache upon replacement.
computer engineering,"In computer engineering, a tag RAM is used to specify which of the possible memory locations is currently stored in a CPU cache. !! In computer engineering, computer architecture is a set of rules and methods that describe the functionality, organization, and implementation of computer systems. !! Computer networking may be considered a branch of computer science, computer engineering, and telecommunications, since it relies on the theoretical and practical application of the related disciplines."
different clusters,"More than a dozen of internal evaluation measures exist, usually based on the intuition that items in the same cluster should be more similar than items in different clusters."
discrete time,"In both differential equations in continuous time and difference equations in discrete time, initial conditions affect the value of the dynamic variables (state variables) at any future time. !! For a system of order k (the number of time lags in discrete time, or the order of the largest derivative in continuous time) and dimension n (that is, with n different evolving variables, which together can be denoted by an n-dimensional coordinate vector), generally nk initial conditions are needed in order to trace the system's variables forward through time. !! When used in this manner, the counter machine is used to model the discrete time-steps of a computational system in relation to memory accesses."
data mapper pattern,"In software engineering, the data mapper pattern is an architectural pattern."
data mapper,"In software engineering, the data mapper pattern is an architectural pattern. !! The goal of the pattern is to keep the in-memory representation and the persistent data store independent of each other and the data mapper itself. !! A Data Mapper is a Data Access Layer that performs bidirectional transfer of data between a persistent data store (often a relational database) and an in-memory data representation (the domain layer)."
architectural pattern,"In software engineering, the data mapper pattern is an architectural pattern. !! In software engineering, the active record pattern is considered an architectural pattern by some people and as an anti-pattern by some others recently. !! Interface-based programming, also known as interface-based architecture, is an architectural pattern for implementing modular programming at the component level in an object-oriented programming language which does not have a module system."
memory data representation,A Data Mapper is a Data Access Layer that performs bidirectional transfer of data between a persistent data store (often a relational database) and an in-memory data representation (the domain layer).
persistent data store,A Data Mapper is a Data Access Layer that performs bidirectional transfer of data between a persistent data store (often a relational database) and an in-memory data representation (the domain layer).
domain layer,A Data Mapper is a Data Access Layer that performs bidirectional transfer of data between a persistent data store (often a relational database) and an in-memory data representation (the domain layer).
data access layer,A Data Mapper is a Data Access Layer that performs bidirectional transfer of data between a persistent data store (often a relational database) and an in-memory data representation (the domain layer).
memory representation,The goal of the pattern is to keep the in-memory representation and the persistent data store independent of each other and the data mapper itself.
exploratory search,"Since then a series of other workshops has been held at related conferences: Evaluating Exploratory Search at SIGIR06 and Exploratory Search and HCI at CHI07 (in order to meet with the experts in humancomputer interaction). !! Consequently, exploratory search covers a broader class of activities than typical information retrieval, such as investigating, evaluating, comparing, and synthesizing, where new information is sought in a defined conceptual area; exploratory data analysis is another example of an information exploration activity. !! Exploratory search is distinguished from known-item search, for which the searcher has a particular target in mind. !! In 2005, the Exploratory Search Interfaces workshop focused on beginning to define some of the key challenges in the field. !! Exploratory search is a topic that has grown from the fields of information retrieval and information seeking but has become more concerned with alternatives to the kind of search that has received the majority of focus (returning the most relevant documents to a Google-like keyword search)."
item search,"Exploratory search is distinguished from known-item search, for which the searcher has a particular target in mind."
information exploration activity,"Consequently, exploratory search covers a broader class of activities than typical information retrieval, such as investigating, evaluating, comparing, and synthesizing, where new information is sought in a defined conceptual area; exploratory data analysis is another example of an information exploration activity."
exploratory data analysis,"In statistical applications, data analysis can be divided into descriptive statistics, exploratory data analysis (EDA), and confirmatory data analysis (CDA). !! Consequently, exploratory search covers a broader class of activities than typical information retrieval, such as investigating, evaluating, comparing, and synthesizing, where new information is sought in a defined conceptual area; exploratory data analysis is another example of an information exploration activity."
information seeking,Exploratory search is a topic that has grown from the fields of information retrieval and information seeking but has become more concerned with alternatives to the kind of search that has received the majority of focus (returning the most relevant documents to a Google-like keyword search).
evaluating exploratory search,Since then a series of other workshops has been held at related conferences: Evaluating Exploratory Search at SIGIR06 and Exploratory Search and HCI at CHI07 (in order to meet with the experts in humancomputer interaction).
forward declaration,"In other languages forward declarations are not necessary, which generally requires instead a multi-pass compiler and for some compilation to be deferred to link time. !! In C and C++, the line above represents a forward declaration of a function and is the function's prototype. !! Variables may have only forward declaration and lack definition. !! In computer programming, a forward declaration is a declaration of an identifier (denoting an entity such as a type, a variable, a constant, or a function) for which the programmer has not yet given a complete definition. !! Forward declaration is used in languages that require declaration before use; it is necessary for mutual recursion in such languages, as it is impossible to define such functions (or data structures) without a forward reference in one definition: one of the functions (respectively, data structures) must be defined first."
mutual recursion,"Forward declaration is used in languages that require declaration before use; it is necessary for mutual recursion in such languages, as it is impossible to define such functions (or data structures) without a forward reference in one definition: one of the functions (respectively, data structures) must be defined first."
forward reference,"Forward declaration is used in languages that require declaration before use; it is necessary for mutual recursion in such languages, as it is impossible to define such functions (or data structures) without a forward reference in one definition: one of the functions (respectively, data structures) must be defined first."
link time,"In other languages forward declarations are not necessary, which generally requires instead a multi-pass compiler and for some compilation to be deferred to link time."
kaczmarz method,"[2] Comments on the randomized Kaczmarz method !! The general rate of the Gower-Richtarik algorithm precisely recovers the rate of the randomized Kaczmarz method in the special case when it reduced to it. !! The Kaczmarz method is applicable to any linear system of equations, but its computational advantage relative to other methods depends on the system being sparse. !! Strohmer, Thomas; Vershynin, Roman (2009b), ""Comments on the randomized Kaczmarz method"", Journal of Fourier Analysis and Applications, 15 (4): 437440,"
randomized kaczmarz method,[2] Comments on the randomized Kaczmarz method !! The general rate of the Gower-Richtarik algorithm precisely recovers the rate of the randomized Kaczmarz method in the special case when it reduced to it.
fourier analysis,"Strohmer, Thomas; Vershynin, Roman (2009b), ""Comments on the randomized Kaczmarz method"", Journal of Fourier Analysis and Applications, 15 (4): 437440,"
line detection,"In image processing, line detection is an algorithm that takes a collection of n edge points and finds all the lines on which these edge points lie."
lazy initialization,"In a software design pattern view, lazy initialization is often used together with a factory method pattern. !! Here is an example in Smalltalk, of a typical accessor method to return the value of a variable using lazy initialization. !! In computer programming, lazy initialization is the tactic of delaying the creation of an object, the calculation of a value, or some other expensive process until the first time it is needed. !! Note that lazy initialization can also be used in non-object-oriented languages. !! Here is an example of lazy initialization in PHP 7."
typical accessor method,"Here is an example in Smalltalk, of a typical accessor method to return the value of a variable using lazy initialization."
search problems,"Genetic algorithms are commonly used to generate high-quality solutions to optimization and search problems by relying on biologically inspired operators such as mutation, crossover and selection."
polling model,"In queueing theory, a discipline within the mathematical theory of probability, a polling system or polling model is a system where a single server visits a set of queues in some order."
highest frequency,"Trace scheduling uses a basic block scheduling method to schedule the instructions in each entire trace, beginning with the trace with the highest frequency."
decision problem,"In computability theory and computational complexity theory, an undecidable problem is a decision problem for which it is proved to be impossible to construct an algorithm that always leads to a correct yes-or-no answer. !! In computational complexity theory, a gap reduction is a reduction to a particular type of decision problem, known as a c-gap problem. !! If the longest path problem could be solved in polynomial time, it could be used to solve this decision problem, by finding a longest path and then comparing its length to the number k. Therefore, the longest path problem is NP-hard. !! The subset sum problem (SSP) is a decision problem in computer science."
subset sum problem,SSP is a special case of the knapsack problem and of the multiple subset sum problem. !! Multiple subset sum problem - a generalization off SSP in which one should choose several subsets. !! The subset sum problem (SSP) is a decision problem in computer science. !! algorithm for the subset sum problem where T is the sum we need to find. !! Solving low-density subset sum problems.
multiple subset sum problem,SSP is a special case of the knapsack problem and of the multiple subset sum problem. !! Multiple subset sum problem - a generalization off SSP in which one should choose several subsets.
collision detection,"Collision detection utilizes time coherence to allow even finer time steps without much increasing CPU demand, such as in air traffic control. !! Collision detection is a classic issue of computational geometry and has applications in various computing fields, primarily in computer graphics, computer games, computer simulations, robotics and computational physics. !! Collision detection algorithms can be divided into operating on 2D and 3D objects. !! In addition to the a posteriori and a priori distinction, almost all modern collision detection algorithms are broken into a hierarchy of algorithms. !! Collision detection is the computational problem of detecting the intersection of two or more objects."
computational problem,Collision detection is the computational problem of detecting the intersection of two or more objects.
computer simulations,"Collision detection is a classic issue of computational geometry and has applications in various computing fields, primarily in computer graphics, computer games, computer simulations, robotics and computational physics."
collision detection algorithms,Collision detection algorithms can be divided into operating on 2D and 3D objects.
modern collision detection algorithms,"In addition to the a posteriori and a priori distinction, almost all modern collision detection algorithms are broken into a hierarchy of algorithms."
fibonacci heap,"Michael L. Fredman and Robert E. Tarjan developed Fibonacci heaps in 1984 and published them in a scientific journal in 1987. !! For the Fibonacci heap, the find-minimum operation takes constant (O(1)) amortized time. !! In computer science, a Fibonacci heap is a data structure for priority queue operations, consisting of a collection of heap-ordered trees. !! A Fibonacci heap is thus better than a binary or binomial heap when b is smaller than a by a non-constant factor. !! Fibonacci heaps are named after the Fibonacci numbers, which are used in their running time analysis."
priority queue operations,"In computer science, a Fibonacci heap is a data structure for priority queue operations, consisting of a collection of heap-ordered trees."
fibonacci heaps,"Fibonacci heaps are named after the Fibonacci numbers, which are used in their running time analysis."
running time analysis,"Fibonacci heaps are named after the Fibonacci numbers, which are used in their running time analysis."
binomial heap,"In computer science, a binomial heap is a data structure that acts as a priority queue but also allows pairs of heaps to be merged. !! This feature is central to the merge operation of a binomial heap, which is its major advantage over other conventional heaps. !! , and thus a binomial heap with 13 nodes will consist of three binomial trees of orders 3, 2, and 0 (see figure below). !! Example of a binomial heap containing 13 nodes with distinct keys. !! Binomial heaps were invented in 1978 by Jean Vuillemin. !! A Fibonacci heap is thus better than a binary or binomial heap when b is smaller than a by a non-constant factor."
portable operating system interface,The development of the open-system environment reference model started early 1990s by the NIST as refinement of the POSIX (Portable Operating System Interface) standard.
textual case-based reasoning,"Textual Case-Based Reasoning Wiki !! Textual case-based reasoning (TCBR) is a subtopic of case-based reasoning, in short CBR, a popular area in artificial intelligence."
computer screen,"If a scientist sets up a computerized thermometer which records the temperature of a chemical mixture in a test tube every minute, the list of temperature readings for every minute, as printed out on a spreadsheet or viewed on a computer screen are ""raw data""."
data entry errors,"Raw data have not been subjected to processing, ""cleaning"" by researchers to remove outliers, obvious instrument reading errors or data entry errors, or any analysis (e. g. , determining central tendency aspects such as the average or median result)."
software program,"As well, raw data have not been subject to any other manipulation by a software program or a human researcher, analyst or technician."
ubiquitous computing,"The descriptions provided by Townsend in his foreword and by Foth in his preface to the Handbook of Research on Urban Informatics emphasize two key aspects: (1) the new possibilities (including real-time data) for both citizens and city administrations afforded by ubiquitous computing, and (2) the convergence of physical and digital aspects of the city. !! The underlying technologies to support ubiquitous computing include Internet, advanced middleware, operating system, mobile code, sensors, microprocessors, new I/O and user interfaces, computer networks, mobile protocols, location and positioning, and new materials. !! The Mobile Life Centre at Stockholm University in Kista, Sweden, conducts research in mobile services and ubiquitous computing. !! In contrast to desktop computing, ubiquitous computing can occur using any device, in any location, and in any format. !! Ubiquitous computing touches on distributed computing, mobile computing, location computing, mobile networking, sensor networks, humancomputer interaction, context-aware smart home technologies, and artificial intelligence. !! Responsive computer-aided design is enabled by ubiquitous computing and the Internet of Things, concepts which describe the capacity for everyday objects to contain computing and sensing technologies. !! Ubiquitous computing (or ""ubicomp"") is a concept in software engineering, hardware engineering and computer science where computing is made to appear anytime and everywhere. !! Rather than propose a single definition for ubiquitous computing and for these related terms, a taxonomy of properties for ubiquitous computing has been proposed, from which different kinds or flavors of ubiquitous systems and applications can be described. !! Since then, the emergence and growing popularity of ubiquitous computing, open data and big data analytics, as well as smart cities, contributed to a surge in interest in urban informatics, not just from academics but also from industry and city governments seeking to explore and apply the possibilities and opportunities of urban informatics."
hardware engineering,"Ubiquitous computing (or ""ubicomp"") is a concept in software engineering, hardware engineering and computer science where computing is made to appear anytime and everywhere. !! In computer science, specifically software engineering and hardware engineering, formal methods are a particular kind of mathematically rigorous techniques for the specification, development and verification of software and hardware systems."
desktop computing,"In contrast to desktop computing, ubiquitous computing can occur using any device, in any location, and in any format."
computer networks,"The underlying technologies to support ubiquitous computing include Internet, advanced middleware, operating system, mobile code, sensors, microprocessors, new I/O and user interfaces, computer networks, mobile protocols, location and positioning, and new materials. !! Round-robin scheduling can be applied to other scheduling problems, such as data packet scheduling in computer networks. !! DuPont and Fidler provide a historical perspective of ARPANET encryption devices in the broader evolution of computer networks and cybersecurity."
mobile code,"The underlying technologies to support ubiquitous computing include Internet, advanced middleware, operating system, mobile code, sensors, microprocessors, new I/O and user interfaces, computer networks, mobile protocols, location and positioning, and new materials."
advanced middleware,"The underlying technologies to support ubiquitous computing include Internet, advanced middleware, operating system, mobile code, sensors, microprocessors, new I/O and user interfaces, computer networks, mobile protocols, location and positioning, and new materials."
mobile protocols,"The underlying technologies to support ubiquitous computing include Internet, advanced middleware, operating system, mobile code, sensors, microprocessors, new I/O and user interfaces, computer networks, mobile protocols, location and positioning, and new materials."
ubiquitous systems,"Rather than propose a single definition for ubiquitous computing and for these related terms, a taxonomy of properties for ubiquitous computing has been proposed, from which different kinds or flavors of ubiquitous systems and applications can be described."
mobile networking,"Ubiquitous computing touches on distributed computing, mobile computing, location computing, mobile networking, sensor networks, humancomputer interaction, context-aware smart home technologies, and artificial intelligence."
mobile computing,"Ubiquitous computing touches on distributed computing, mobile computing, location computing, mobile networking, sensor networks, humancomputer interaction, context-aware smart home technologies, and artificial intelligence. !! Wearable computers have various technical issues common to other mobile computing, such as batteries, heat dissipation, software architectures, wireless and personal area networks, and data management."
location computing,"Ubiquitous computing touches on distributed computing, mobile computing, location computing, mobile networking, sensor networks, humancomputer interaction, context-aware smart home technologies, and artificial intelligence."
ubiquitous computing touches,"Ubiquitous computing touches on distributed computing, mobile computing, location computing, mobile networking, sensor networks, humancomputer interaction, context-aware smart home technologies, and artificial intelligence."
lossless compression algorithms,"However, many ordinary lossless compression algorithms produce headers, wrappers, tables, or other predictable output that might instead make cryptanalysis easier. !! Some of the most common lossless compression algorithms are listed below. !! Lossless compression algorithms and their implementations are routinely tested in head-to-head benchmarks. !! The ""trick"" that allows lossless compression algorithms, used on the type of data they were designed for, to consistently compress such files to a shorter form is that the files the algorithms are designed to act on all have some form of easily modeled redundancy that the algorithm is designed to remove, and thus belong to the subset of files that that algorithm can make shorter, whereas other files would not get compressed or even get bigger."
adaptive histogram equalization,"Contrast Limited AHE (CLAHE) is a variant of adaptive histogram equalization in which the contrast amplification is limited, so as to reduce this problem of noise amplification. !! Adaptive histogram equalization (AHE) is a computer image processing technique used to improve contrast in images. !! Adaptive histogram equalization (AHE) improves on this by transforming each pixel with a transformation function derived from a neighbourhood region. !! A variant of adaptive histogram equalization called contrast limited adaptive histogram equalization (CLAHE) prevents this by limiting the amplification. !! Adaptive histogram equalization in its straightforward form presented above, both with and without contrast limiting, requires the computation of a different neighbourhood histogram and transformation function for each pixel in the image."
neighbourhood region,Adaptive histogram equalization (AHE) improves on this by transforming each pixel with a transformation function derived from a neighbourhood region.
contrast limited ahe,"Contrast Limited AHE (CLAHE) is a variant of adaptive histogram equalization in which the contrast amplification is limited, so as to reduce this problem of noise amplification."
key exchange problem,The best known example of quantum cryptography is quantum key distribution which offers an information-theoretically secure solution to the key exchange problem.
theoretically secure solution,The best known example of quantum cryptography is quantum key distribution which offers an information-theoretically secure solution to the key exchange problem.
quantum key distribution,The best known example of quantum cryptography is quantum key distribution which offers an information-theoretically secure solution to the key exchange problem.
quantum cryptography attributes,Quantum cryptography attributes its beginning by the work of Stephen Wiesner and Gilles Brassard.
numerical solution,"In the finite element method for the numerical solution of elliptic partial differential equations, the stiffness matrix represents the system of linear equations that must be solved in order to ascertain an approximate solution to the differential equation. !! In mathematics, the generalized minimal residual method (GMRES) is an iterative method for the numerical solution of an indefinite nonsymmetric system of linear equations. !! In numerical linear algebra, the biconjugate gradient stabilized method, often abbreviated as BiCGSTAB, is an iterative method developed by H. A. van der Vorst for the numerical solution of nonsymmetric linear systems. !! The approximation of derivatives by finite differences plays a central role in finite difference methods for the numerical solution of differential equations, especially boundary value problems. !! In mathematics, the conjugate gradient method is an algorithm for the numerical solution of particular systems of linear equations, namely those whose matrix is positive-definite."
iterative algorithm,"The conjugate gradient method is often implemented as an iterative algorithm, applicable to sparse systems that are too large to be handled by a direct implementation or other direct methods such as the Cholesky decomposition."
nonlinear optimization problems,Various nonlinear conjugate gradient methods seek minima of nonlinear optimization problems.
approximate solution,"In the finite element method for the numerical solution of elliptic partial differential equations, the stiffness matrix represents the system of linear equations that must be solved in order to ascertain an approximate solution to the differential equation."
elliptic partial differential equations,"In the finite element method for the numerical solution of elliptic partial differential equations, the stiffness matrix represents the system of linear equations that must be solved in order to ascertain an approximate solution to the differential equation."
stiffness matrix,"In the finite element method for the numerical solution of elliptic partial differential equations, the stiffness matrix represents the system of linear equations that must be solved in order to ascertain an approximate solution to the differential equation. !! , the coefficients ui are determined by the linear system Au = F. The stiffness matrix is symmetric, i. e. Aij = Aji, so all its eigenvalues are real. !! For example, the stiffness matrix when piecewise quadratic finite elements are used will have more degrees of freedom than piecewise linear elements. !! Note that the stiffness matrix will be different depending on the computational grid used for the domain and what type of finite element is used. !! Determining the stiffness matrix for other PDE follows essentially the same procedure, but it can be complicated by the choice of boundary conditions."
differential equation,"In the finite element method for the numerical solution of elliptic partial differential equations, the stiffness matrix represents the system of linear equations that must be solved in order to ascertain an approximate solution to the differential equation. !! In a spiking neural network, a neuron's current state is defined as its membrane potential (possibly modeled as a differential equation). !! In mathematics, a stiff equation is a differential equation for which certain numerical methods for solving the equation are numerically unstable, unless the step size is taken to be extremely small."
boundary conditions,"Topology optimization is a mathematical method that optimizes material layout within a given design space, for a given set of loads, boundary conditions and constraints with the goal of maximizing the performance of the system. !! Determining the stiffness matrix for other PDE follows essentially the same procedure, but it can be complicated by the choice of boundary conditions."
scalable networks,"Augmented tree-based routing (ATR) protocol, first proposed in 2007, is a multi-path DHT-based routing protocol for scalable networks."
augmented tree-based routing,"Augmented Tree-based Routing Protocol for Scalable Ad Hoc Networks. !! Augmented tree-based routing (ATR) protocol, first proposed in 2007, is a multi-path DHT-based routing protocol for scalable networks."
scalable ad hoc networks,Augmented Tree-based Routing Protocol for Scalable Ad Hoc Networks.
heuristic algorithms,"Metaheuristic: Methods for controlling and tuning basic heuristic algorithms, usually with usage of memory and learning."
nonnegative extended real number,"In mathematics, the topological entropy of a topological dynamical system is a nonnegative extended real number that is a measure of the complexity of the system. !! A topological dynamical system consists of a Hausdorff topological space X (usually assumed to be compact) and a continuous self-map f. Its topological entropy is a nonnegative extended real number that can be defined in various ways, which are known to be equivalent."
topological dynamical system,"In mathematics, the topological entropy of a topological dynamical system is a nonnegative extended real number that is a measure of the complexity of the system."
exponential growth rate,"The second definition clarified the meaning of the topological entropy: for a system given by an iterated function, the topological entropy represents the exponential growth rate of the number of distinguishable orbits of the iterates."
somos sequence,"In mathematics, a Somos sequence is a sequence of numbers defined by a certain recurrence relation, described below. !! From the form of their defining recurrence (which involves division), one would expect the terms of the sequence to be fractions, but nevertheless many Somos sequences have the property that all of their members are integers. !! The form of the recurrences describing the Somos sequences involves divisions, making it appear likely that the sequences defined by these recurrence will contain fractional values. !! While in the usual definition of the Somos sequences, the values of ai for i < k are all set equal to 1, it is also possible to define other sequences by using the same recurrences with different initial values. !! Nevertheless, for k 7 the Somos sequences contain only integer values."
somos sequences,"While in the usual definition of the Somos sequences, the values of ai for i < k are all set equal to 1, it is also possible to define other sequences by using the same recurrences with different initial values."
travelling salesperson problem,"The travelling salesman problem (also called the travelling salesperson problem or TSP) asks the following question: ""Given a list of cities and the distances between each pair of cities, what is the shortest possible route that visits each city exactly once and returns to the origin city"""
travelling salesman problem,"The travelling salesman problem (also called the travelling salesperson problem or TSP) asks the following question: ""Given a list of cities and the distances between each pair of cities, what is the shortest possible route that visits each city exactly once and returns to the origin city"" !! The earliest publication using the phrase ""travelling salesman problem"" was the 1949 RAND Corporation report by Julia Robinson, ""On the Hamiltonian game (a traveling salesman problem). !! The travelling salesman problem was mathematically formulated in the 19th century by the Irish mathematician W. R. Hamilton and by the British mathematician Thomas Kirkman. !! The BeardwoodHaltonHammersley theorem provides a practical solution to the travelling salesman problem. !! The origins of the travelling salesman problem are unclear."
hamiltonian game,"The earliest publication using the phrase ""travelling salesman problem"" was the 1949 RAND Corporation report by Julia Robinson, ""On the Hamiltonian game (a traveling salesman problem)."
