phrase,sentances
multiple caches,Cache coherence is intended to manage such conflicts by maintaining a coherent view of the data values in multiple caches.
coherent view,Cache coherence is intended to manage such conflicts by maintaining a coherent view of the data values in multiple caches.
data values,Cache coherence is intended to manage such conflicts by maintaining a coherent view of the data values in multiple caches.
propagated throughout,Cache coherence is the discipline which ensures that the changes in the values of shared operands (data) are propagated throughout the system in a timely fashion.
shared operands,Cache coherence is the discipline which ensures that the changes in the values of shared operands (data) are propagated throughout the system in a timely fashion.
timely fashion,Cache coherence is the discipline which ensures that the changes in the values of shared operands (data) are propagated throughout the system in a timely fashion.
different cache memory,"One type of data occurring simultaneously in different cache memory is called cache coherence, or in some systems, global memory."
called cache coherence,"One type of data occurring simultaneously in different cache memory is called cache coherence, or in some systems, global memory."
data occurring simultaneously,"One type of data occurring simultaneously in different cache memory is called cache coherence, or in some systems, global memory."
write propagation criteria required,The above conditions satisfy the Write Propagation criteria required for cache coherence.
conditions satisfy,The above conditions satisfy the Write Propagation criteria required for cache coherence.
partial evaluation,"If Istatic is source code designed to run inside that interpreter, then partial evaluation of the interpreter with respect to this data/program produces prog*, a version of the interpreter that only runs that source code, is written in the implementation language of the interpreter, does not require the source code to be resupplied, and runs faster than the original combination of the interpreter and the source. !! A particularly interesting example of the use of partial evaluation, first described in the 1970s by Yoshihiko Futamura, is when prog is an interpreter for a programming language. !! In computing, partial evaluation is a technique for several different types of program optimization by specialization."
several different types,"In computing, partial evaluation is a technique for several different types of program optimization by specialization."
particularly interesting example,"A particularly interesting example of the use of partial evaluation, first described in the 1970s by Yoshihiko Futamura, is when prog is an interpreter for a programming language."
yoshihiko futamura,"A particularly interesting example of the use of partial evaluation, first described in the 1970s by Yoshihiko Futamura, is when prog is an interpreter for a programming language."
original combination,"If Istatic is source code designed to run inside that interpreter, then partial evaluation of the interpreter with respect to this data/program produces prog*, a version of the interpreter that only runs that source code, is written in the implementation language of the interpreter, does not require the source code to be resupplied, and runs faster than the original combination of the interpreter and the source."
program produces prog,"If Istatic is source code designed to run inside that interpreter, then partial evaluation of the interpreter with respect to this data/program produces prog*, a version of the interpreter that only runs that source code, is written in the implementation language of the interpreter, does not require the source code to be resupplied, and runs faster than the original combination of the interpreter and the source."
run inside,"If Istatic is source code designed to run inside that interpreter, then partial evaluation of the interpreter with respect to this data/program produces prog*, a version of the interpreter that only runs that source code, is written in the implementation language of the interpreter, does not require the source code to be resupplied, and runs faster than the original combination of the interpreter and the source."
runs faster,"If Istatic is source code designed to run inside that interpreter, then partial evaluation of the interpreter with respect to this data/program produces prog*, a version of the interpreter that only runs that source code, is written in the implementation language of the interpreter, does not require the source code to be resupplied, and runs faster than the original combination of the interpreter and the source."
source code designed,"If Istatic is source code designed to run inside that interpreter, then partial evaluation of the interpreter with respect to this data/program produces prog*, a version of the interpreter that only runs that source code, is written in the implementation language of the interpreter, does not require the source code to be resupplied, and runs faster than the original combination of the interpreter and the source."
topos theory,"The category of sets is an important special case: it plays the role of a point in topos theory. !! More exotic examples, and the raison d'tre of topos theory, come from algebraic geometry. !! Topos theory is, in some sense, a generalization of classical point-set topology. !! (It's better to consider it in Ho(pro-SS); see Edwards) Using this inverse system of simplicial sets one may sometimes associate to a homotopy invariant in classical topology an inverse system of invariants in topos theory. !! As indicated in the introduction, sheaves on ordinary topological spaces motivate many of the basic definitions and results of topos theory."
ordinary topological spaces motivate many,"As indicated in the introduction, sheaves on ordinary topological spaces motivate many of the basic definitions and results of topos theory."
basic definitions,"As indicated in the introduction, sheaves on ordinary topological spaces motivate many of the basic definitions and results of topos theory."
important special case,The category of sets is an important special case: it plays the role of a point in topos theory.
exotic examples,"More exotic examples, and the raison d'tre of topos theory, come from algebraic geometry."
algebraic geometry,"More exotic examples, and the raison d'tre of topos theory, come from algebraic geometry."
set topology,"Topos theory is, in some sense, a generalization of classical point-set topology."
classical point,"Topos theory is, in some sense, a generalization of classical point-set topology."
inverse system,(It's better to consider it in Ho(pro-SS); see Edwards) Using this inverse system of simplicial sets one may sometimes associate to a homotopy invariant in classical topology an inverse system of invariants in topos theory.
classical topology,(It's better to consider it in Ho(pro-SS); see Edwards) Using this inverse system of simplicial sets one may sometimes associate to a homotopy invariant in classical topology an inverse system of invariants in topos theory.
homotopy invariant,(It's better to consider it in Ho(pro-SS); see Edwards) Using this inverse system of simplicial sets one may sometimes associate to a homotopy invariant in classical topology an inverse system of invariants in topos theory.
ss  see edwards,(It's better to consider it in Ho(pro-SS); see Edwards) Using this inverse system of simplicial sets one may sometimes associate to a homotopy invariant in classical topology an inverse system of invariants in topos theory.
based selection,"Reward-based selection is a technique used in evolutionary algorithms for selecting potentially useful solutions for recombination. !! Reward-based selection can be used within Multi-armed bandit framework for Multi-objective optimization to obtain a better approximation of the Pareto front. !! Reward-based selection can quickly identify the most fruitful directions of search by maximizing the cumulative reward of individuals. !! A further relaxation requiring only a list of the k smallest elements, but without requiring that these be ordered, makes the problem equivalent to partition-based selection; the original partial sorting problem can be solved by such a selection algorithm to obtain an array where the first k elements are the k smallest, and sorting these, at a total cost of O(n + k log k) operations."
selecting potentially useful solutions,Reward-based selection is a technique used in evolutionary algorithms for selecting potentially useful solutions for recombination.
better approximation,Reward-based selection can be used within Multi-armed bandit framework for Multi-objective optimization to obtain a better approximation of the Pareto front.
used within multi,Reward-based selection can be used within Multi-armed bandit framework for Multi-objective optimization to obtain a better approximation of the Pareto front.
armed bandit framework,Reward-based selection can be used within Multi-armed bandit framework for Multi-objective optimization to obtain a better approximation of the Pareto front.
pareto front,Reward-based selection can be used within Multi-armed bandit framework for Multi-objective optimization to obtain a better approximation of the Pareto front.
quickly identify,Reward-based selection can quickly identify the most fruitful directions of search by maximizing the cumulative reward of individuals.
fruitful directions,Reward-based selection can quickly identify the most fruitful directions of search by maximizing the cumulative reward of individuals.
algebraic properties,"In mathematics, particularly in linear algebra and applications, matrix analysis is the study of matrices and their algebraic properties."
matrix analysis,"Matrix Analysis and Applied Linear Algebra. !! In mathematics, particularly in linear algebra and applications, matrix analysis is the study of matrices and their algebraic properties. !! Matrix Analysis. !! Applied Linear Algebra and Matrix Analysis. !! Matrix Analysis and Applied Linear Algebra Book and Solutions Manual."
applied linear algebra book,Matrix Analysis and Applied Linear Algebra Book and Solutions Manual.
solutions manual,Matrix Analysis and Applied Linear Algebra Book and Solutions Manual.
applied linear algebra,Applied Linear Algebra and Matrix Analysis. !! Matrix Analysis and Applied Linear Algebra.
solve constraint satisfaction problems,"In computer science, the min-conflicts algorithm is a search algorithm or heuristic method to solve constraint satisfaction problems."
min-conflicts algorithm,"In computer science, the min-conflicts algorithm is a search algorithm or heuristic method to solve constraint satisfaction problems."
combines symbolic,"In mathematics and computer science, symbolic-numeric computation is the use of software that combines symbolic and numeric methods to solve problems."
numeric computation,"Symbolic-numeric Computation. !! The Fourth International Workshop on Symbolic-Numeric Computation (SNC2011). !! In mathematics and computer science, symbolic-numeric computation is the use of software that combines symbolic and numeric methods to solve problems."
numeric methods,"In mathematics and computer science, symbolic-numeric computation is the use of software that combines symbolic and numeric methods to solve problems."
fourth international workshop,The Fourth International Workshop on Symbolic-Numeric Computation (SNC2011).
checking whether,"In computer science, brute-force search or exhaustive search, also known as generate and test, is a very general problem-solving technique and algorithmic paradigm that consists of systematically enumerating all possible candidates for the solution and checking whether each candidate satisfies the problem's statement. !! In computer science, model checking or property checking is a method for checking whether a finite-state model of a system meets a given specification (also known as correctness). !! Binary search trees support three main operations: lookup (checking whether a key is present), insertion, and deletion of an element."
possible candidates,"In computer science, brute-force search or exhaustive search, also known as generate and test, is a very general problem-solving technique and algorithmic paradigm that consists of systematically enumerating all possible candidates for the solution and checking whether each candidate satisfies the problem's statement."
candidate satisfies,"In computer science, brute-force search or exhaustive search, also known as generate and test, is a very general problem-solving technique and algorithmic paradigm that consists of systematically enumerating all possible candidates for the solution and checking whether each candidate satisfies the problem's statement."
solving technique,"In computer science, brute-force search or exhaustive search, also known as generate and test, is a very general problem-solving technique and algorithmic paradigm that consists of systematically enumerating all possible candidates for the solution and checking whether each candidate satisfies the problem's statement. !! Brute-force attacks are an application of brute-force search, the general problem-solving technique of enumerating all candidates and checking each one."
general problem,"In computer science, brute-force search or exhaustive search, also known as generate and test, is a very general problem-solving technique and algorithmic paradigm that consists of systematically enumerating all possible candidates for the solution and checking whether each candidate satisfies the problem's statement. !! Brute-force attacks are an application of brute-force search, the general problem-solving technique of enumerating all candidates and checking each one. !! The earliest work in computerized knowledge representation was focused on general problem-solvers such as the General Problem Solver (GPS) system developed by Allen Newell and Herbert A. Simon in 1959."
force search,"While a brute-force search is simple to implement and will always find a solution if it exists, implementation costs are proportional to the number of candidate solutions which in many practical problems tends to grow very quickly as the size of the problem increases (Combinatorial explosion). !! Therefore, brute-force search is typically used when the problem size is limited, or when there are problem-specific heuristics that can be used to reduce the set of candidate solutions to a manageable size. !! Indeed, brute-force search can be viewed as the simplest metaheuristic. !! In computer science, brute-force search or exhaustive search, also known as generate and test, is a very general problem-solving technique and algorithmic paradigm that consists of systematically enumerating all possible candidates for the solution and checking whether each candidate satisfies the problem's statement. !! Brute-force attacks are an application of brute-force search, the general problem-solving technique of enumerating all candidates and checking each one. !! Brute-force search is also useful as a baseline method when benchmarking other algorithms or metaheuristics."
systematically enumerating,"In computer science, brute-force search or exhaustive search, also known as generate and test, is a very general problem-solving technique and algorithmic paradigm that consists of systematically enumerating all possible candidates for the solution and checking whether each candidate satisfies the problem's statement."
candidate solutions,"In evolutionary computation, an initial set of candidate solutions is generated and iteratively updated. !! In a genetic algorithm, a population of candidate solutions (called individuals, creatures, organisms, or phenotypes) to an optimization problem is evolved toward better solutions. !! While a brute-force search is simple to implement and will always find a solution if it exists, implementation costs are proportional to the number of candidate solutions which in many practical problems tends to grow very quickly as the size of the problem increases (Combinatorial explosion). !! Therefore, brute-force search is typically used when the problem size is limited, or when there are problem-specific heuristics that can be used to reduce the set of candidate solutions to a manageable size."
implementation costs,"While a brute-force search is simple to implement and will always find a solution if it exists, implementation costs are proportional to the number of candidate solutions which in many practical problems tends to grow very quickly as the size of the problem increases (Combinatorial explosion)."
problem increases,"While a brute-force search is simple to implement and will always find a solution if it exists, implementation costs are proportional to the number of candidate solutions which in many practical problems tends to grow very quickly as the size of the problem increases (Combinatorial explosion)."
always find,"While a brute-force search is simple to implement and will always find a solution if it exists, implementation costs are proportional to the number of candidate solutions which in many practical problems tends to grow very quickly as the size of the problem increases (Combinatorial explosion)."
many practical problems tends,"While a brute-force search is simple to implement and will always find a solution if it exists, implementation costs are proportional to the number of candidate solutions which in many practical problems tends to grow very quickly as the size of the problem increases (Combinatorial explosion)."
specific heuristics,"Therefore, brute-force search is typically used when the problem size is limited, or when there are problem-specific heuristics that can be used to reduce the set of candidate solutions to a manageable size."
manageable size,"Therefore, brute-force search is typically used when the problem size is limited, or when there are problem-specific heuristics that can be used to reduce the set of candidate solutions to a manageable size."
baseline method,Brute-force search is also useful as a baseline method when benchmarking other algorithms or metaheuristics.
simplest metaheuristic,"Indeed, brute-force search can be viewed as the simplest metaheuristic."
detecting whether,"In computer programming, bounds checking is any method of detecting whether a variable is within some bounds before it is used."
always done,"Because performing bounds checking during every usage is time-consuming, it is not always done."
performing bounds checking,"Because performing bounds checking during every usage is time-consuming, it is not always done."
every usage,"Because performing bounds checking during every usage is time-consuming, it is not always done."
eliminates unneeded bounds checking,Bounds-checking elimination is a compiler optimization technique that eliminates unneeded bounds checking.
checking elimination,Bounds-checking elimination is a compiler optimization technique that eliminates unneeded bounds checking.
never perform automatic bounds checking,"Many programming languages, such as C, never perform automatic bounds checking to raise speed."
raise speed,"Many programming languages, such as C, never perform automatic bounds checking to raise speed."
run time bounds checking,The D and OCaml languages have run time bounds checking that is enabled or disabled with a compiler switch.
compressed sensing in speech signals,This article is about Compressed sensing in speech signals.
data differencing,Delta encoding is a way of storing or transmitting data in the form of differences (deltas) between sequential data rather than complete files; more generally this is known as data differencing.
transmitting data,Delta encoding is a way of storing or transmitting data in the form of differences (deltas) between sequential data rather than complete files; more generally this is known as data differencing.
complete files,Delta encoding is a way of storing or transmitting data in the form of differences (deltas) between sequential data rather than complete files; more generally this is known as data differencing.
sequential data rather,Delta encoding is a way of storing or transmitting data in the form of differences (deltas) between sequential data rather than complete files; more generally this is known as data differencing.
sometimes called delta compression,"Delta encoding is sometimes called delta compression, particularly where archival histories of changes are required (e. g. , in revision control software)."
archival histories,"Delta encoding is sometimes called delta compression, particularly where archival histories of changes are required (e. g. , in revision control software)."
large document,"In situations where differences are small for example, the change of a few words in a large document or the change of a few records in a large table delta encoding greatly reduces data redundancy."
better samples,"Unfortunately, not even all 8-bit sound samples compress better when delta encoded, and the usability of delta encoding is even smaller for 16-bit and better samples."
even smaller,"Unfortunately, not even all 8-bit sound samples compress better when delta encoded, and the usability of delta encoding is even smaller for 16-bit and better samples."
delta encoded,"Unfortunately, not even all 8-bit sound samples compress better when delta encoded, and the usability of delta encoding is even smaller for 16-bit and better samples."
bit sound samples compress better,"Unfortunately, not even all 8-bit sound samples compress better when delta encoded, and the usability of delta encoding is even smaller for 16-bit and better samples."
encodes differences,A variation of delta encoding which encodes differences between the prefixes or suffixes of strings is called incremental encoding.
called incremental encoding,A variation of delta encoding which encodes differences between the prefixes or suffixes of strings is called incremental encoding.
predicate calculus,"First-order logicalso known as predicate logic, quantificational logic, and first-order predicate calculusis a collection of formal systems used in mathematics, philosophy, linguistics, and computer science. !! The notion of a database schema plays the same role as the notion of theory in predicate calculus."
formal systems used,"First-order logicalso known as predicate logic, quantificational logic, and first-order predicate calculusis a collection of formal systems used in mathematics, philosophy, linguistics, and computer science."
order logicalso known,"First-order logicalso known as predicate logic, quantificational logic, and first-order predicate calculusis a collection of formal systems used in mathematics, philosophy, linguistics, and computer science."
quantificational logic,"First-order logicalso known as predicate logic, quantificational logic, and first-order predicate calculusis a collection of formal systems used in mathematics, philosophy, linguistics, and computer science."
order predicate calculusis,"First-order logicalso known as predicate logic, quantificational logic, and first-order predicate calculusis a collection of formal systems used in mathematics, philosophy, linguistics, and computer science."
main interfaces,"The software structure, modularization, core algorithms and main interfaces do not differ from other ERPs, and ERP software suppliers manage to adapt their systems to government agencies."
government agencies,"The software structure, modularization, core algorithms and main interfaces do not differ from other ERPs, and ERP software suppliers manage to adapt their systems to government agencies. !! Evidence shows that software metrics are being widely used by government agencies, the US military, NASA, IT consultants, academic institutions, and commercial and academic development estimation software."
erp software suppliers manage,"The software structure, modularization, core algorithms and main interfaces do not differ from other ERPs, and ERP software suppliers manage to adapt their systems to government agencies."
readily codified within,This is because the procedure can be readily codified within the ERP software and replicated with confidence across multiple businesses that share that business requirement.
confidence across multiple businesses,This is because the procedure can be readily codified within the ERP software and replicated with confidence across multiple businesses that share that business requirement.
business requirement,This is because the procedure can be readily codified within the ERP software and replicated with confidence across multiple businesses that share that business requirement.
organizations thoroughly analyze processes,It is therefore crucial that organizations thoroughly analyze processes before they deploy an ERP software.
therefore crucial,It is therefore crucial that organizations thoroughly analyze processes before they deploy an ERP software.
hardware lets companies run,Two-tier ERP software and hardware lets companies run the equivalent of two ERP systems at once: one at the corporate level and one at the division or subsidiary level.
two erp systems,Two-tier ERP software and hardware lets companies run the equivalent of two ERP systems at once: one at the corporate level and one at the division or subsidiary level.
corporate level,Two-tier ERP software and hardware lets companies run the equivalent of two ERP systems at once: one at the corporate level and one at the division or subsidiary level.
subsidiary level,Two-tier ERP software and hardware lets companies run the equivalent of two ERP systems at once: one at the corporate level and one at the division or subsidiary level.
tier erp software,Two-tier ERP software and hardware lets companies run the equivalent of two ERP systems at once: one at the corporate level and one at the division or subsidiary level.
homogeneous segments according,Speaker diarisation (or diarization) is the process of partitioning an input audio stream into homogeneous segments according to the speaker identity.
input audio stream,Speaker diarisation (or diarization) is the process of partitioning an input audio stream into homogeneous segments according to the speaker identity.
speaker identity,Speaker diarisation (or diarization) is the process of partitioning an input audio stream into homogeneous segments according to the speaker identity.
speaker diarisation,"Speaker diarisation is a combination of speaker segmentation and speaker clustering. !! In speaker diarisation one of the most popular methods is to use a Gaussian mixture model to model each of the speakers, and assign the corresponding frames for each speaker with the help of a Hidden Markov Model. !! With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings. !! Speaker diarisation (or diarization) is the process of partitioning an input audio stream into homogeneous segments according to the speaker identity. !! Speaker verification (also called speaker authentication) contrasts with identification, and speaker recognition differs from speaker diarisation (recognizing when the same speaker is speaking)."
speaker clustering,Speaker diarisation is a combination of speaker segmentation and speaker clustering.
speaker segmentation,Speaker diarisation is a combination of speaker segmentation and speaker clustering.
national institute,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings. !! The Advanced Encryption Standard (AES), also known by its original name Rijndael (Dutch pronunciation: [rindal]), is a specification for the encryption of electronic data established by the U. S. National Institute of Standards and Technology (NIST) in 2001. AES is a variant of the Rijndael block cipher developed by two Belgian cryptographers, Joan Daemen and Vincent Rijmen, who submitted a proposal to NIST during the AES selection process."
increasing number,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings."
voice mail collected every year,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings."
specific evaluations devoted,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings."
received much attention,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings."
speech community,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings."
meeting recordings,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings."
broadcast news,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings."
telephone speech,"With the increasing number of broadcasts, meeting recordings and voice mail collected every year, speaker diarisation has received much attention by the speech community, as is manifested by the specific evaluations devoted to it under the auspices of the National Institute of Standards and Technology for telephone speech, broadcast news and meetings."
corresponding frames,"In speaker diarisation one of the most popular methods is to use a Gaussian mixture model to model each of the speakers, and assign the corresponding frames for each speaker with the help of a Hidden Markov Model."
popular methods,"In speaker diarisation one of the most popular methods is to use a Gaussian mixture model to model each of the speakers, and assign the corresponding frames for each speaker with the help of a Hidden Markov Model."
speaker diarisation one,"In speaker diarisation one of the most popular methods is to use a Gaussian mixture model to model each of the speakers, and assign the corresponding frames for each speaker with the help of a Hidden Markov Model."
plane sweep algorithm,"In computational geometry, a sweep line algorithm or plane sweep algorithm is an algorithmic paradigm that uses a conceptual sweep line or sweep surface to solve various problems in Euclidean space."
conceptual sweep line,"In computational geometry, a sweep line algorithm or plane sweep algorithm is an algorithmic paradigm that uses a conceptual sweep line or sweep surface to solve various problems in Euclidean space."
solve various problems,"In computational geometry, a sweep line algorithm or plane sweep algorithm is an algorithmic paradigm that uses a conceptual sweep line or sweep surface to solve various problems in Euclidean space."
processing points,"Topological sweeping is a form of the plane sweep with a relaxed ordering of processing points, which avoids the necessity of completely sorting the points; it allows some sweep line algorithms to be performed more efficiently."
completely sorting,"Topological sweeping is a form of the plane sweep with a relaxed ordering of processing points, which avoids the necessity of completely sorting the points; it allows some sweep line algorithms to be performed more efficiently."
relaxed ordering,"Topological sweeping is a form of the plane sweep with a relaxed ordering of processing points, which avoids the necessity of completely sorting the points; it allows some sweep line algorithms to be performed more efficiently."
topological sweeping,"Topological sweeping is a form of the plane sweep with a relaxed ordering of processing points, which avoids the necessity of completely sorting the points; it allows some sweep line algorithms to be performed more efficiently."
spatial verification,"The spatial verification can not be used as post-processing. !! To specify scenes or objects, is commonly used affine transformations to perform the spatial verification. !! Spatial verification is a technique in which similar locations can be identified in an automated way through a sequence of images."
automated way,An ASIC based IPS may detect and block denial-of-service attacks because they have the processing power and the granularity to analyze the attacks and act like a circuit breaker in an automated way. !! Spatial verification is a technique in which similar locations can be identified in an automated way through a sequence of images.
similar locations,Spatial verification is a technique in which similar locations can be identified in an automated way through a sequence of images.
commonly used affine transformations,"To specify scenes or objects, is commonly used affine transformations to perform the spatial verification."
specify scenes,"To specify scenes or objects, is commonly used affine transformations to perform the spatial verification."
also avoids repeated evaluations,"In programming language theory, lazy evaluation, or call-by-need, is an evaluation strategy which delays the evaluation of an expression until its value is needed (non-strict evaluation) and which also avoids repeated evaluations (sharing)."
evaluation strategy,"In programming language theory, lazy evaluation, or call-by-need, is an evaluation strategy which delays the evaluation of an expression until its value is needed (non-strict evaluation) and which also avoids repeated evaluations (sharing)."
strict evaluation,"The opposite of lazy evaluation is eager evaluation, sometimes known as strict evaluation. !! In programming language theory, lazy evaluation, or call-by-need, is an evaluation strategy which delays the evaluation of an expression until its value is needed (non-strict evaluation) and which also avoids repeated evaluations (sharing)."
often combined,"Lazy evaluation is often combined with memoization, as described in Jon Bentley's Writing Efficient Programs."
writing efficient programs,"Lazy evaluation is often combined with memoization, as described in Jon Bentley's Writing Efficient Programs."
jon bentley,"Lazy evaluation is often combined with memoization, as described in Jon Bentley's Writing Efficient Programs."
operations becomes indeterminate,"Lazy evaluation is difficult to combine with imperative features such as exception handling and input/output, because the order of operations becomes indeterminate."
eager evaluation,"The opposite of lazy evaluation is eager evaluation, sometimes known as strict evaluation."
plessey system 250,"Lazy evaluation was introduced for lambda calculus by Christopher Wadsworth and employed by the Plessey System 250 as a critical part of a Lambda-Calculus Meta-Machine, reducing the resolution overhead for access to objects in a capability-limited address space."
resolution overhead,"Lazy evaluation was introduced for lambda calculus by Christopher Wadsworth and employed by the Plessey System 250 as a critical part of a Lambda-Calculus Meta-Machine, reducing the resolution overhead for access to objects in a capability-limited address space."
limited address space,"Lazy evaluation was introduced for lambda calculus by Christopher Wadsworth and employed by the Plessey System 250 as a critical part of a Lambda-Calculus Meta-Machine, reducing the resolution overhead for access to objects in a capability-limited address space."
critical part,"Lazy evaluation was introduced for lambda calculus by Christopher Wadsworth and employed by the Plessey System 250 as a critical part of a Lambda-Calculus Meta-Machine, reducing the resolution overhead for access to objects in a capability-limited address space."
christopher wadsworth,"Lazy evaluation was introduced for lambda calculus by Christopher Wadsworth and employed by the Plessey System 250 as a critical part of a Lambda-Calculus Meta-Machine, reducing the resolution overhead for access to objects in a capability-limited address space."
calculus meta,"Lazy evaluation was introduced for lambda calculus by Christopher Wadsworth and employed by the Plessey System 250 as a critical part of a Lambda-Calculus Meta-Machine, reducing the resolution overhead for access to objects in a capability-limited address space."
flow diagram,"The data-flow diagram is a tool that is part of structured analysis and data modeling. !! The refined representation of a process can be done in another data-flow diagram, which subdivides this process into sub-processes. !! A data-flow diagram is a way of representing a flow of data through a process or a system (usually an information system). !! A data-flow diagram has no control flowthere are no decision rules and no loops."
control flowthere,A data-flow diagram has no control flowthere are no decision rules and no loops.
displaying data,There are several notations for displaying data-flow diagrams.
flow diagrams,There are several notations for displaying data-flow diagrams.
several notations,There are several notations for displaying data-flow diagrams.
refined representation,"The refined representation of a process can be done in another data-flow diagram, which subdivides this process into sub-processes."
another data,"The refined representation of a process can be done in another data-flow diagram, which subdivides this process into sub-processes."
living organisms perform computations,"The concept of biological computation proposes that living organisms perform computations, and that as such, abstract ideas of information and computation may be key to understanding biology."
abstract ideas,"The concept of biological computation proposes that living organisms perform computations, and that as such, abstract ideas of information and computation may be key to understanding biology."
computation may,"The concept of biological computation proposes that living organisms perform computations, and that as such, abstract ideas of information and computation may be key to understanding biology."
biological computation proposes,"The concept of biological computation proposes that living organisms perform computations, and that as such, abstract ideas of information and computation may be key to understanding biology."
understanding biology,"The concept of biological computation proposes that living organisms perform computations, and that as such, abstract ideas of information and computation may be key to understanding biology."
biological computation,"As a field, biological computation can include the study of the systems biology computations performed by biota the design of algorithms inspired by the computational methods of biota, the design and engineering of manufactured computational devices using synthetic biology components and computer methods for the analysis of biological data, elsewhere called computational biology or bioinformatics. !! The concept of biological computation proposes that living organisms perform computations, and that as such, abstract ideas of information and computation may be key to understanding biology."
biological data,"As a field, biological computation can include the study of the systems biology computations performed by biota the design of algorithms inspired by the computational methods of biota, the design and engineering of manufactured computational devices using synthetic biology components and computer methods for the analysis of biological data, elsewhere called computational biology or bioinformatics."
computer methods,"As a field, biological computation can include the study of the systems biology computations performed by biota the design of algorithms inspired by the computational methods of biota, the design and engineering of manufactured computational devices using synthetic biology components and computer methods for the analysis of biological data, elsewhere called computational biology or bioinformatics."
algorithms inspired,"As a field, biological computation can include the study of the systems biology computations performed by biota the design of algorithms inspired by the computational methods of biota, the design and engineering of manufactured computational devices using synthetic biology components and computer methods for the analysis of biological data, elsewhere called computational biology or bioinformatics."
systems biology computations performed,"As a field, biological computation can include the study of the systems biology computations performed by biota the design of algorithms inspired by the computational methods of biota, the design and engineering of manufactured computational devices using synthetic biology components and computer methods for the analysis of biological data, elsewhere called computational biology or bioinformatics."
elsewhere called computational biology,"As a field, biological computation can include the study of the systems biology computations performed by biota the design of algorithms inspired by the computational methods of biota, the design and engineering of manufactured computational devices using synthetic biology components and computer methods for the analysis of biological data, elsewhere called computational biology or bioinformatics."
computational methods,"As a field, biological computation can include the study of the systems biology computations performed by biota the design of algorithms inspired by the computational methods of biota, the design and engineering of manufactured computational devices using synthetic biology components and computer methods for the analysis of biological data, elsewhere called computational biology or bioinformatics."
infinite set,"Infinite sets may be countable or uncountable. !! The power set of an infinite set is infinite. !! Any superset of an infinite set is infinite. !! The existence of any other infinite set can be proved in ZermeloFraenkel set theory (ZFC), but only by showing that it follows from the existence of the natural numbers. !! In set theory, an infinite set is a set that is not a finite set."
infinite sets may,Infinite sets may be countable or uncountable.
zermelofraenkel set theory,"In many formal set theories, such as ZermeloFraenkel set theory, set builder notation is not part of the formal syntax of the theory. !! The existence of any other infinite set can be proved in ZermeloFraenkel set theory (ZFC), but only by showing that it follows from the existence of the natural numbers."
based machine learning,"Rule-based machine learning (RBML) is a term in computer science intended to encompass any machine learning method that identifies, learns, or evolves 'rules' to store, manipulate or apply. !! While rule-based machine learning is conceptually a type of rule-based system, it is distinct from traditional rule-based systems, which are often hand-crafted, and other rule-based decision makers."
